aX,aY,aZ,gX,gY,gZ,beat_change,beat,dynamic
0.483,0.116,-1.4069999999999998,-69.817,-18.232,-74.878,None,3,f
0.496,0.123,-1.402,-70.61,-20.061,-76.15899999999998,None,3,f
0.506,0.12,-1.4,-71.46300000000002,-21.646,-77.07300000000002,None,3,f
0.523,0.117,-1.398,-72.317,-22.744,-78.171,None,3,f
0.526,0.114,-1.393,-72.92699999999998,-23.354,-78.84100000000002,None,3,f
0.5329999999999999,0.115,-1.393,-73.354,-23.598000000000006,-79.512,None,3,f
0.5379999999999999,0.108,-1.386,-73.78,-24.024,-80.244,None,3,f
0.537,0.107,-1.376,-74.085,-24.451,-80.976,None,3,f
0.528,0.106,-1.3630000000000002,-74.45100000000002,-24.939,-81.098,None,3,f
0.521,0.101,-1.3530000000000002,-75.061,-25.305,-81.46300000000002,None,3,f
0.512,0.104,-1.339,-75.671,-25.915,-81.89,None,3,f
0.501,0.104,-1.3330000000000002,-76.46300000000002,-26.037,-82.012,None,3,f
0.482,0.108,-1.329,-76.95100000000002,-25.427,-82.256,None,3,f
0.48,0.107,-1.331,-77.866,-24.39,-82.866,None,3,f
0.465,0.104,-1.321,-78.232,-23.354,-82.805,None,3,f
0.443,0.108,-1.308,-78.902,-22.378,-82.744,None,3,f
0.4270000000000001,0.113,-1.3,-79.756,-21.341,-82.927,None,3,f
0.406,0.114,-1.288,-80.54899999999998,-20.366,-82.866,None,3,f
0.388,0.113,-1.28,-81.34100000000002,-19.512,-82.561,None,3,f
0.369,0.109,-1.277,-81.89,-18.659,-82.439,None,3,f
0.34700000000000003,0.101,-1.277,-82.31700000000002,-17.439,-82.439,None,3,f
0.333,0.099,-1.274,-83.171,-15.488,-82.68299999999998,None,3,f
0.32,0.096,-1.275,-84.085,-13.78,-82.988,None,3,f
0.311,0.096,-1.278,-84.81700000000002,-12.988,-83.23200000000001,None,3,f
0.303,0.097,-1.274,-85.79299999999998,-12.988,-83.23200000000001,None,3,f
0.28600000000000003,0.091,-1.271,-86.402,-13.11,-83.29299999999998,None,3,f
0.268,0.08900000000000001,-1.263,-87.012,-12.988,-83.537,None,3,f
0.261,0.085,-1.258,-87.561,-12.561,-83.65899999999998,None,3,f
0.245,0.083,-1.256,-88.415,-11.951,-84.024,None,3,f
0.239,0.078,-1.255,-88.902,-11.707,-84.20700000000002,None,3,f
0.237,0.073,-1.248,-89.39,-12.195,-84.20700000000002,None,3,f
0.225,0.07,-1.247,-89.81700000000002,-12.927,-84.45100000000002,None,3,f
0.21600000000000005,0.07400000000000001,-1.244,-90.183,-13.72,-84.81700000000002,None,3,f
0.217,0.064,-1.237,-90.183,-14.39,-84.939,None,3,f
0.208,0.07200000000000001,-1.236,-90.61,-14.634,-85.305,None,3,f
