aX,aY,aZ,gX,gY,gZ,beat_change,beat,dynamic
-0.513,0.05,-0.7609999999999999,86.34100000000002,0.732,54.878,None,4,f
-0.508,0.054000000000000006,-0.75,86.585,0.183,55.06100000000001,None,4,f
-0.502,0.055,-0.747,86.829,-0.6709999999999999,55.36600000000001,None,4,f
-0.5,0.053,-0.747,87.439,-1.707,55.488,None,4,f
-0.494,0.053,-0.747,87.744,-2.805,55.67100000000001,None,4,f
-0.493,0.043,-0.752,87.927,-3.72,56.037,None,4,f
-0.485,0.041,-0.7659999999999999,88.29299999999998,-4.329,56.22,None,4,f
-0.478,0.041,-0.769,88.598,-5.122000000000001,56.463,None,4,f
-0.471,0.041,-0.774,88.537,-5.915,56.951,None,4,f
-0.464,0.032,-0.7829999999999999,88.72,-6.585,57.256,None,4,f
-0.462,0.03,-0.797,88.902,-7.195,57.56100000000001,None,4,f
-0.463,0.023,-0.79,88.72,-7.744,57.988,None,4,f
-0.462,0.021,-0.8029999999999999,88.415,-7.805,58.415,None,4,f
-0.456,0.018000000000000002,-0.821,88.598,-7.805,58.537,None,4,f
-0.456,0.014,-0.821,88.537,-7.561,58.963,None,4,f
-0.459,0.014,-0.8320000000000001,88.72,-7.5,59.512,None,4,f
-0.453,0.01,-0.841,88.65899999999998,-7.317,60.183,None,4,f
-0.455,0.008,-0.846,88.537,-6.9510000000000005,60.793,None,4,f
-0.465,0.008,-0.8590000000000001,88.415,-6.462999999999999,61.28,None,4,f
-0.466,0.001,-0.868,88.598,-5.671,61.707,None,4,f
-0.461,-0.004,-0.8759999999999999,88.415,-5.0,62.073,None,4,f
-0.466,-0.008,-0.879,88.476,-4.39,62.622,None,4,f
-0.467,-0.008,-0.8909999999999999,88.415,-3.5980000000000003,63.17100000000001,None,4,f
-0.473,-0.011,-0.8959999999999999,88.354,-2.866,63.78,None,4,f
-0.472,-0.005,-0.907,88.537,-2.195,63.963,None,4,f
-0.477,-0.003,-0.909,88.537,-1.402,64.39,None,4,f
-0.489,-0.005,-0.913,88.354,-0.5489999999999999,64.634,None,4,f
-0.495,-0.006,-0.923,88.354,0.061,64.756,None,4,f
-0.495,-0.008,-0.931,88.65899999999998,0.6709999999999999,65.0,None,4,f
-0.5,-0.008,-0.929,88.963,1.341,65.366,None,4,f
-0.501,-0.013,-0.93,88.963,2.5,65.305,None,4,f
-0.5,-0.012,-0.935,89.146,3.537,65.122,None,4,f
-0.4970000000000001,-0.014,-0.942,89.26799999999999,4.207,65.366,None,4,f
-0.501,-0.019,-0.952,89.45100000000002,4.939,65.488,None,4,f
-0.496,-0.022,-0.956,89.085,5.671,65.54899999999999,None,4,f
-0.496,-0.021,-0.955,88.902,6.646,65.61,None,4,f
-0.488,-0.028,-0.963,88.537,7.5,65.54899999999999,None,4,f
-0.489,-0.026,-0.973,88.354,7.866,65.61,None,4,f
-0.479,-0.031,-0.976,88.04899999999998,7.683,65.671,None,4,f
-0.467,-0.034,-0.981,87.927,7.317,65.732,None,4,f
-0.463,-0.042,-0.983,87.68299999999998,6.829,65.854,None,4,f
-0.459,-0.047,-0.988,87.37799999999999,5.732,66.22,None,4,f
-0.458,-0.048,-0.991,87.073,4.817,66.34100000000001,None,4,f
-0.459,-0.053,-0.998,86.585,4.573,66.585,None,4,f
-0.454,-0.056,-1.005,86.037,5.244,66.585,None,4,f
-0.449,-0.06,-1.015,85.244,5.792999999999998,66.646,None,4,f
-0.442,-0.06,-1.025,84.573,5.4270000000000005,67.195,None,4,f
-0.439,-0.062,-1.029,84.146,4.4510000000000005,67.805,None,4,f
-0.444,-0.066,-1.034,83.537,3.293,68.415,None,4,f
-0.4370000000000001,-0.064,-1.048,82.744,2.805,68.354,None,4,f
-0.433,-0.07,-1.053,82.134,3.232,68.65899999999999,None,4,f
-0.433,-0.07,-1.067,81.46300000000002,2.5,68.96300000000001,None,4,f
-0.426,-0.066,-1.071,81.03699999999998,1.463,69.268,None,4,f
-0.429,-0.058,-1.081,80.732,1.463,69.634,None,4,f
-0.424,-0.058,-1.099,80.42699999999998,1.768,70.061,None,4,f
-0.426,-0.062,-1.108,79.817,2.195,70.54899999999998,None,4,f
-0.43,-0.067,-1.11,79.024,1.89,71.098,None,4,f
-0.433,-0.071,-1.108,78.476,1.463,71.768,None,4,f
-0.434,-0.068,-1.133,78.354,2.012,72.012,None,4,f
-0.434,-0.073,-1.145,77.683,2.378,72.195,None,4,f
-0.435,-0.077,-1.155,76.95100000000002,2.378,72.439,None,4,f
