aX,aY,aZ,gX,gY,gZ,beat_change,beat
0.012,-0.6659999999999999,0.96,-17.09,-28.503,-0.488,None,3
-0.021,-0.652,0.911,-16.174,-28.809,0.488,None,3
-0.035,-0.664,0.894,-14.954,-26.855,1.831,None,3
-0.047,-0.6920000000000001,0.857,-11.719,-24.17,3.357,None,3
-0.055,-0.737,0.828,-8.179,-22.339,4.089,None,3
-0.058,-0.769,0.815,-5.432,-20.752,3.906,None,3
-0.059,-0.805,0.815,-2.6860000000000004,-19.104,3.052,None,3
-0.048,-0.851,0.8320000000000001,-1.404,-18.127,1.77,None,3
-0.036000000000000004,-0.88,0.8390000000000001,-2.075,-18.494,0.061,None,3
-0.037000000000000005,-0.892,0.821,-2.38,-20.264,-2.563,None,3
-0.036000000000000004,-0.924,0.812,-0.732,-21.606,-5.127000000000002,None,3
-0.025,-0.949,0.81,1.892,-21.729,-7.202000000000001,None,3
-0.015,-0.937,0.799,3.784,-22.156,-10.864,None,3
-0.009000000000000001,-0.904,0.7879999999999999,3.113,-23.254,-14.893,None,3
-0.001,-0.871,0.784,1.709,-24.353,-18.25,None,3
0.011,-0.914,0.757,0.6709999999999999,-25.146,-20.142,None,3
0.026,-0.965,0.706,0.061,-25.879,-22.095,None,3
0.047,-1.028,0.6459999999999999,-1.709,-25.757,-25.146,None,3
0.062,-1.082,0.579,-5.859,-25.208,-29.114,None,3
0.068,-1.124,0.514,-11.047,-23.743,-34.119,None,3
0.064,-1.116,0.445,-14.343,-21.545,-39.612,None,3
0.059,-1.107,0.374,-13.245,-18.25,-45.593,None,3
0.07,-1.103,0.328,-11.353,-13.245,-51.025,None,3
0.079,-1.085,0.285,-10.254,-8.057,-56.519,None,3
0.098,-1.083,0.266,-9.338,-2.6860000000000004,-61.768,None,3
0.117,-1.109,0.224,-7.263,3.6010000000000004,-66.04,None,3
0.13,-1.142,0.17800000000000002,-3.052,10.315,-71.10600000000002,None,3
0.139,-1.158,0.17,-0.183,18.677,-76.782,None,3
0.179,-1.163,0.233,0.305,27.527,-82.336,None,3
0.229,-1.186,0.26,-0.122,35.339,-87.402,None,3
0.244,-1.233,0.217,-0.061,40.283,-93.384,None,3
0.264,-1.266,0.18,-0.122,46.631,-100.464,None,3
0.29100000000000004,-1.285,0.177,-2.502,54.932,-108.093,None,3
0.322,-1.276,0.183,-4.333,62.805,-116.394,None,3
0.353,-1.256,0.195,-3.784,70.801,-125.061,None,3
0.3670000000000001,-1.161,0.23,-2.258,78.308,-133.972,None,3
0.368,-1.041,0.29,0.977,85.75399999999998,-142.639,None,3
0.378,-0.916,0.396,3.845,92.957,-149.35299999999995,None,3
0.381,-0.782,0.4970000000000001,9.033,98.694,-153.87,None,3
0.358,-0.637,0.578,17.395,102.905,-157.227,None,3
0.331,-0.521,0.703,26.489,106.934,-158.142,None,3
0.315,-0.408,0.8690000000000001,32.898,110.779,-156.86,None,3
0.295,-0.311,1.016,36.987,111.45,-154.41899999999995,None,3
0.267,-0.241,1.099,39.124,108.459,-150.57399999999996,None,3
0.204,-0.202,1.127,38.33,103.821,-146.484,None,3
0.162,-0.134,1.199,36.804,100.525,-142.88299999999995,None,3
0.133,-0.037000000000000005,1.298,34.79,97.351,-138.977,None,3
0.086,0.066,1.374,33.936,91.858,-134.705,None,3
0.033,0.17600000000000002,1.426,35.706,85.266,-130.127,None,3
-0.009000000000000001,0.28800000000000003,1.492,37.903,79.041,-124.329,None,3
-0.036000000000000004,0.375,1.57,38.33,72.75399999999998,-116.394,None,3
-0.069,0.4370000000000001,1.6130000000000002,37.903,65.125,-106.812,None,3
-0.081,0.494,1.618,36.56,56.274,-97.107,None,3
-0.105,0.504,1.58,31.006,47.058,-86.304,None,3
-0.123,0.514,1.536,25.818,38.757,-75.378,None,3
-0.127,0.489,1.462,22.034,31.677,-64.331,None,3
-0.139,0.411,1.359,15.380999999999998,24.78,-53.467,None,3
-0.165,0.316,1.223,9.644,19.287,-43.945,None,3
-0.19,0.233,1.127,7.263,16.174,-36.56,3beats_3,3
-0.21,0.159,1.078,7.141,15.564,-30.151,None,3
-0.224,0.098,1.0590000000000002,8.667,15.747,-24.841,None,3
-0.235,0.042,1.063,11.108,15.747,-19.958,None,3
-0.224,-0.021,1.064,13.977,15.137,-15.503,None,3
-0.217,-0.095,1.032,15.198,13.184,-11.23,None,3
-0.215,-0.15,0.988,14.282,10.742,-8.24,None,3
-0.223,-0.211,0.948,11.536,8.728,-6.042000000000002,None,3
-0.218,-0.249,0.929,10.193,8.057,-4.517,None,3
-0.201,-0.312,0.906,10.864,8.24,-2.258,None,3
-0.188,-0.371,0.853,13.428,7.996,-0.61,None,3
