aX,aY,aZ,gX,gY,gZ,label
0.105,-0.518,1.668,-8.972000000000003,-32.715,18.066,None
0.124,-0.589,1.7619999999999998,-14.709,-38.94,18.25,None
0.142,-0.672,1.807,-23.682,-53.223,17.273,None
0.158,-0.705,1.7819999999999998,-28.442,-61.523,16.296,None
0.163,-0.7240000000000001,1.72,-34.973,-77.332,13.489,None
0.172,-0.741,1.668,-31.616,-83.86200000000002,12.207,None
0.175,-0.762,1.555,-16.418,-94.36,8.301,None
0.17,-0.75,1.486,-8.728,-99.182,5.676,None
0.172,-0.74,1.3130000000000002,0.0,-108.154,1.099,None
0.166,-0.731,1.212,-2.747,-115.662,-3.2960000000000003,None
0.149,-0.721,1.048,-3.174,-117.554,-5.127000000000002,None
0.131,-0.7020000000000001,0.918,-1.892,-119.202,-8.667,None
0.108,-0.665,0.818,-2.625,-120.789,-10.803,None
0.076,-0.589,0.649,-0.4270000000000001,-120.605,-14.893,None
0.057,-0.5479999999999999,0.584,0.244,-118.835,-16.479,None
0.014,-0.474,0.4920000000000001,1.465,-113.708,-18.127,None
-0.001,-0.419,0.418,-0.122,-111.572,-18.86,None
-0.062,-0.315,0.267,-5.127000000000002,-106.628,-18.311,None
-0.114,-0.238,0.163,-6.714,-97.412,-15.747,None
-0.14300000000000002,-0.196,0.118,-6.714,-85.449,-12.207,None
-0.194,-0.096,0.037000000000000005,-7.019,-78.735,-10.071,None
-0.243,0.013,-0.05,-8.911,-63.538,-4.822,None
-0.265,0.052000000000000005,-0.095,-14.893,-46.143,3.357,None
-0.31,0.13,-0.081,-15.503,-36.255,7.935,None
-0.306,0.14800000000000002,-0.033,-14.893,-17.151,18.677,None
-0.304,0.122,0.021,-12.755999999999998,0.5489999999999999,29.175,None
-0.257,0.061,0.193,-8.972000000000003,8.85,33.813,None
-0.309,-0.061,0.345,5.615,18.616,41.992,None
-0.262,-0.116,0.401,22.949,22.156,44.18899999999999,None
-0.265,-0.244,0.529,43.64,23.499,45.593,None
-0.255,-0.31,0.578,45.532,22.095,45.471,None
-0.255,-0.402,0.604,33.264,16.113,42.969,None
-0.27,-0.409,0.5770000000000001,21.79,11.963,40.344,None
-0.251,-0.398,0.69,-8.728,-1.587,35.217,None
-0.28600000000000003,-0.41,0.705,-17.029,-5.92,32.471,None
-0.284,-0.324,0.469,-30.64,-12.268,28.259,None
-0.28600000000000003,-0.254,0.349,-37.598,-13.245,26.428,None
-0.268,-0.154,0.073,-41.504,-6.5310000000000015,25.269,None
-0.241,-0.059,-0.023,-41.26,-0.244,24.841,None
-0.331,0.018000000000000002,-0.17600000000000002,-34.851,17.212,25.208,None
-0.242,0.195,-0.174,-29.907,41.199,30.09,None
-0.215,0.262,-0.17,-27.405,53.833,34.119,None
-0.141,0.401,-0.114,-33.386,79.041,44.861,None
-0.086,0.459,-0.031,-36.377,92.163,51.941,None
0.038,0.454,0.297,-48.706,118.53,70.19,None
0.102,0.39,0.5,-63.232,128.113,79.834,None
0.18,0.18600000000000005,0.79,-108.276,137.878,95.337,None
0.236,0.129,0.948,-134.705,137.939,100.464,None
0.313,0.095,0.973,-162.476,135.071,104.736,None
0.35700000000000004,0.104,0.895,-163.696,134.46,105.225,None
0.449,0.205,0.772,-147.827,140.259,105.957,None
0.499,0.31,0.885,-138.428,143.67700000000005,107.3,None
0.61,0.366,1.339,-92.163,150.33,113.159,3beats_3
0.6779999999999999,0.419,1.5619999999999998,-69.336,150.879,116.333,None
0.7509999999999999,0.213,1.841,5.249,143.555,127.502,None
0.7809999999999999,0.049,1.983,30.212,138.184,133.05700000000002,None
0.823,-0.379,2.225,59.387,119.69,139.954,None
0.848,-0.5920000000000001,2.358,64.27,107.3,139.709,None
0.841,-1.046,2.531,68.48100000000001,77.69800000000002,130.981,None
