aX,aY,aZ,gX,gY,gZ,beat_change,beat
-0.682,-0.34600000000000003,0.541,-0.4270000000000001,2.8080000000000003,-4.333,None,3
-0.675,-0.363,0.5429999999999999,0.244,3.967,-4.7,None,3
-0.675,-0.366,0.5589999999999999,1.038,5.249,-5.31,None,3
-0.6729999999999999,-0.354,0.581,1.038,6.5920000000000005,-5.981,None,3
-0.669,-0.33,0.605,0.6709999999999999,7.385,-6.348,None,3
-0.665,-0.295,0.617,0.7929999999999999,7.874,-6.714,None,3
-0.674,-0.262,0.628,0.122,7.751,-6.653,None,3
-0.6759999999999999,-0.233,0.632,-0.61,7.568,-6.226,None,3
-0.6829999999999999,-0.203,0.626,-1.526,7.385,-5.4929999999999986,None,3
-0.687,-0.193,0.626,-1.892,7.202000000000001,-4.15,None,3
-0.6859999999999999,-0.199,0.642,-2.197,7.751,-2.136,None,3
-0.6809999999999999,-0.211,0.652,-2.38,8.179,-0.4270000000000001,None,3
-0.684,-0.229,0.6659999999999999,-2.258,8.484,0.8540000000000001,None,3
-0.674,-0.239,0.68,-2.014,8.606,1.953,None,3
-0.669,-0.243,0.6920000000000001,-1.3430000000000002,8.545,2.38,None,3
-0.6659999999999999,-0.242,0.7,-1.709,7.996,2.93,None,3
-0.6659999999999999,-0.234,0.7020000000000001,-2.258,7.202000000000001,3.6010000000000004,None,3
-0.664,-0.23,0.6940000000000001,-2.869,6.653,4.15,None,3
-0.6579999999999999,-0.238,0.6809999999999999,-4.395,5.92,5.432,None,3
-0.6579999999999999,-0.244,0.6579999999999999,-6.287000000000001,5.066,6.348,None,3
-0.6579999999999999,-0.24,0.634,-7.69,4.6389999999999985,6.897,None,3
-0.657,-0.235,0.619,-8.118,4.6389999999999985,7.629,None,3
-0.653,-0.233,0.602,-8.606,5.066,8.484,None,3
-0.653,-0.224,0.573,-9.644,5.249,9.033,None,3
-0.6509999999999999,-0.209,0.536,-11.292,5.432,9.888,None,3
-0.6459999999999999,-0.189,0.5,-13.489,5.981,10.681,None,3
-0.649,-0.161,0.464,-16.235,6.836,11.658,None,3
-0.6559999999999999,-0.126,0.431,-18.433,8.667,12.817,None,3
-0.647,-0.085,0.4,-20.081,11.047,14.465,None,3
-0.653,-0.037000000000000005,0.358,-20.508000000000006,13.367,15.991,None,3
-0.657,0.005,0.32299999999999995,-22.644,16.357,18.127,None,3
-0.6509999999999999,0.054000000000000006,0.282,-24.719,19.409,20.752,None,3
-0.643,0.106,0.246,-26.733,23.193,23.499,None,3
-0.6559999999999999,0.174,0.213,-27.588,27.405,26.306,None,3
-0.6509999999999999,0.249,0.17,-25.94,32.227,29.785,None,3
-0.615,0.307,0.159,-25.574,38.025,34.302,None,3
-0.5820000000000001,0.343,0.13699999999999998,-25.513,43.762,39.978,None,3
-0.562,0.373,0.131,-30.273000000000003,49.194,45.959,None,3
-0.552,0.394,0.121,-36.926,54.565,52.185,None,3
-0.513,0.4370000000000001,0.058,-43.64,59.81399999999999,58.838,None,3
-0.473,0.46,-0.001,-49.316,65.735,65.55199999999999,None,3
-0.447,0.484,-0.037000000000000005,-57.983,71.594,72.449,None,3
-0.404,0.502,-0.079,-65.491,79.102,79.773,None,3
-0.34600000000000003,0.5379999999999999,-0.068,-67.322,88.44,86.853,None,3
-0.28800000000000003,0.563,-0.07400000000000001,-62.805,99.487,94.177,None,3
-0.217,0.561,-0.08900000000000001,-48.157,113.22,102.356,None,3
-0.111,0.5770000000000001,-0.059,-35.522,125.244,110.657,None,3
-0.024,0.569,-0.012,-23.804,136.292,118.53,None,3
0.07,0.568,0.04,-12.573,146.362,126.038,None,3
0.14400000000000002,0.575,0.106,-5.188,154.968,133.911,None,3
0.238,0.57,0.194,3.418,164.00099999999995,142.578,None,3
0.328,0.521,0.293,13.733,172.97400000000005,152.405,None,3
0.442,0.441,0.385,22.156,179.93200000000004,162.231,None,3
0.5329999999999999,0.342,0.471,26.184,184.143,171.63099999999997,None,3
0.607,0.224,0.555,29.236,186.523,179.62599999999995,None,3
0.672,0.128,0.6409999999999999,29.358,187.317,185.791,None,3
0.746,0.053,0.735,32.654,187.622,190.186,None,3
0.7559999999999999,0.021,0.8390000000000001,38.33,187.622,193.787,None,3
0.812,-0.08,0.969,53.772,189.026,197.998,None,3
0.913,-0.16399999999999998,1.2009999999999998,61.157,189.392,203.186,None,3
0.972,-0.293,1.376,68.665,185.791,207.153,None,3
1.022,-0.434,1.519,76.05,175.232,209.83900000000003,None,3
1.102,-0.619,1.509,89.23299999999998,161.255,209.656,None,3
1.065,-0.721,1.525,83.435,145.874,207.275,None,3
1.011,-0.762,1.557,77.82,132.202,202.637,None,3
1.077,-0.866,1.504,88.56200000000003,123.596,198.669,None,3
1.056,-0.926,1.5830000000000002,77.209,114.685,196.228,None,3
1.036,-1.055,1.629,79.59,104.431,192.932,None,3
1.065,-1.291,1.736,84.839,94.36,189.758,None,3
1.016,-1.422,1.804,65.67399999999999,78.55199999999998,182.617,None,3
0.978,-1.5619999999999998,1.81,72.14399999999998,62.683,171.875,None,3
1.002,-1.6869999999999998,1.668,84.412,48.706,158.50799999999995,None,3
0.948,-1.716,1.625,64.697,34.302,145.264,None,3
0.894,-1.7280000000000002,1.599,42.297,22.339,130.67600000000002,None,3
0.87,-1.6740000000000002,1.557,28.381,13.0,116.821,None,3
0.812,-1.614,1.54,16.541,4.761,103.882,None,3
0.792,-1.6030000000000002,1.5530000000000002,9.583,-2.258,92.712,None,3
0.77,-1.589,1.56,3.357,-9.521,81.90899999999998,None,3
0.737,-1.5719999999999998,1.518,2.747,-18.738,71.167,None,3
0.71,-1.526,1.446,6.714,-27.893,59.753,None,3
0.7,-1.48,1.339,10.925,-35.217,48.95,None,3
0.701,-1.429,1.228,9.644,-41.504,38.81800000000001,None,3
0.6920000000000001,-1.364,1.142,1.77,-46.81399999999999,29.297,None,3
0.667,-1.285,1.055,-6.226,-51.147,20.325,None,3
0.6409999999999999,-1.1740000000000002,0.987,-16.968,-54.62600000000001,11.902,None,3
0.612,-1.055,0.916,-25.208,-56.76300000000001,5.249,None,3
0.5660000000000001,-0.967,0.853,-28.259,-58.594,0.4270000000000001,None,3
0.539,-0.911,0.802,-26.55,-58.838,-2.869,None,3
0.511,-0.89,0.753,-23.682,-58.228,-5.432,None,3
0.499,-0.882,0.7,-20.874,-57.495,-7.629,None,3
0.48,-0.879,0.648,-17.7,-56.03,-10.62,None,3
0.462,-0.879,0.588,-14.404000000000002,-54.199,-14.099,None,3
0.442,-0.868,0.531,-12.512,-51.697,-17.639,None,3
0.425,-0.8540000000000001,0.48,-11.536,-48.401,-21.423,None,3
0.401,-0.8190000000000001,0.436,-11.78,-44.495,-25.513,None,3
0.385,-0.773,0.426,-12.024,-39.734,-29.175,None,3
0.3670000000000001,-0.735,0.412,-11.108,-34.607,-31.86,None,3
0.35700000000000004,-0.71,0.417,-10.376,-29.236,-34.485,None,3
0.335,-0.659,0.415,-9.705,-23.987,-36.804,None,3
0.333,-0.619,0.443,-14.343,-19.348,-38.757,None,3
0.306,-0.5770000000000001,0.452,-14.343,-15.625,-41.382,None,3
0.299,-0.5429999999999999,0.472,-16.052,-11.963,-43.091,None,3
0.28800000000000003,-0.484,0.487,-20.264,-9.155,-44.25,None,3
0.277,-0.445,0.506,-22.4,-6.47,-44.25,None,3
0.272,-0.423,0.522,-21.057,-3.662,-43.518,None,3
0.269,-0.4,0.5379999999999999,-18.799,-0.6709999999999999,-42.908,None,3
0.27,-0.38,0.557,-15.686,2.319,-42.175,None,3
0.268,-0.3670000000000001,0.579,-13.245,5.615,-41.077,None,3
0.267,-0.345,0.617,-12.817,8.789,-40.405,None,3
0.261,-0.329,0.664,-13.306,12.024,-39.368,None,3
0.257,-0.317,0.711,-13.489,14.282,-38.025,None,3
0.241,-0.306,0.7609999999999999,-13.855,15.869000000000002,-36.987,None,3
0.236,-0.29,0.797,-13.245,16.846,-36.011,None,3
0.228,-0.265,0.826,-12.39,17.09,-34.79,None,3
0.215,-0.237,0.852,-11.047,17.273,-33.203,None,3
0.209,-0.215,0.878,-8.423,17.456,-31.189,None,3
0.203,-0.204,0.9,-6.47,17.456,-28.564,None,3
0.206,-0.218,0.93,-2.747,17.7,-25.879,None,3
0.205,-0.23,1.002,-0.061,17.517,-23.01,None,3
0.205,-0.281,0.997,2.93,16.602,-20.203,None,3
0.201,-0.305,1.044,3.052,15.259,-18.066,None,3
0.204,-0.337,1.04,5.676,13.123,-16.846,None,3
0.211,-0.359,1.054,4.456,10.803,-16.113,None,3
0.2,-0.34700000000000003,1.068,1.404,7.751,-15.869000000000002,None,3
0.205,-0.341,1.05,1.831,5.4929999999999986,-15.686,None,3
0.197,-0.316,1.038,-0.4270000000000001,2.747,-14.954,None,3
0.197,-0.29600000000000004,1.026,-1.953,1.099,-14.220999999999998,None,3
0.191,-0.279,1.015,-2.197,-0.61,-12.878,None,3
0.19,-0.272,1.016,-2.136,-2.075,-10.986,None,3
0.191,-0.28,1.01,-2.075,-3.418,-9.094,None,3
0.192,-0.292,1.002,-2.502,-5.31,-7.263,None,3
0.192,-0.298,0.988,-2.747,-7.019,-6.165,None,3
0.189,-0.301,0.961,-3.113,-8.362,-5.188,None,3
0.189,-0.298,0.934,-3.052,-9.46,-3.906,None,3
0.193,-0.299,0.908,-2.8080000000000003,-10.254,-2.38,None,3
0.193,-0.303,0.885,-3.662,-10.498,-1.038,None,3
0.195,-0.299,0.8540000000000001,-4.6389999999999985,-10.864,0.488,None,3
0.19,-0.29600000000000004,0.8340000000000001,-4.822,-10.62,1.953,None,3
0.193,-0.303,0.828,-4.7,-10.193,3.6010000000000004,3beats_2,3
0.19,-0.312,0.815,-5.615,-9.949,5.371,None,3
0.19,-0.322,0.8,-6.165,-9.583,7.08,None,3
0.19,-0.338,0.784,-5.127000000000002,-9.277,8.545,None,3
0.197,-0.36,0.769,-4.15,-8.85,9.888,None,3
0.202,-0.386,0.743,-3.174,-8.179,10.925,None,3
0.211,-0.406,0.721,-3.052,-7.263,11.719,None,3
0.214,-0.423,0.7,-2.258,-5.981,12.268,None,3
0.223,-0.4370000000000001,0.6920000000000001,-1.709,-4.089,12.512,None,3
0.235,-0.455,0.6890000000000001,-1.77,-1.953,12.573,None,3
0.244,-0.469,0.69,-2.014,-0.366,12.695,None,3
0.265,-0.499,0.696,-2.258,1.3430000000000002,13.062,None,3
0.284,-0.535,0.7,-3.967,2.441,13.245,None,3
0.306,-0.5760000000000001,0.688,-5.249,2.869,12.817,None,3
0.321,-0.614,0.664,-6.957999999999998,2.93,12.085,None,3
0.327,-0.629,0.637,-9.583,3.2960000000000003,10.742,None,3
0.329,-0.6679999999999999,0.604,-8.484,4.578,9.583,None,3
0.334,-0.6920000000000001,0.5770000000000001,-10.864,6.47,7.812,None,3
0.349,-0.731,0.555,-11.108,8.85,6.287000000000001,None,3
0.368,-0.769,0.522,-9.521,11.23,3.906,None,3
0.404,-0.797,0.494,-7.751,14.220999999999998,0.61,None,3
0.441,-0.8140000000000001,0.47,-7.629,17.456,-2.991,None,3
0.476,-0.8290000000000001,0.461,-8.972000000000003,20.813,-5.92,None,3
0.508,-0.835,0.451,-11.719,24.231,-8.728,None,3
0.518,-0.8490000000000001,0.444,-16.724,27.344,-11.536,None,3
0.522,-0.885,0.439,-21.057,30.029,-14.282,None,3
0.521,-0.921,0.425,-23.315,32.593,-17.7,None,3
0.522,-0.969,0.397,-23.56,35.4,-21.851,None,3
0.524,-1.011,0.366,-24.902,38.696,-27.1,None,3
0.5329999999999999,-1.03,0.33,-26.123,42.725,-33.447,None,3
0.544,-1.04,0.311,-23.865,48.035,-40.771,None,3
0.575,-1.0490000000000002,0.32,-21.973000000000006,54.504,-47.974,None,3
0.62,-1.054,0.34700000000000003,-22.461,61.523,-55.176,None,3
0.672,-1.048,0.388,-24.292,67.322,-62.927,None,3
0.716,-1.019,0.433,-27.954,71.22800000000002,-70.862,None,3
0.737,-0.988,0.47,-31.799,73.73,-78.735,None,3
0.748,-0.942,0.488,-35.889,75.439,-86.182,None,3
0.753,-0.882,0.488,-38.94,76.66,-93.201,None,3
0.76,-0.825,0.472,-40.771,78.003,-99.731,None,3
0.764,-0.77,0.435,-41.382,80.139,-105.774,None,3
0.777,-0.706,0.414,-42.908,82.947,-111.511,None,3
0.8029999999999999,-0.647,0.402,-43.396,86.73100000000002,-116.699,None,3
0.85,-0.581,0.413,-44.37300000000001,91.248,-121.277,None,3
0.911,-0.519,0.4370000000000001,-46.57,95.764,-124.939,None,3
0.96,-0.454,0.472,-46.326,99.609,-127.808,None,3
0.973,-0.409,0.524,-46.93600000000001,101.99,-129.211,None,3
0.981,-0.396,0.563,-44.556,104.309,-129.45600000000002,None,3
0.988,-0.418,0.58,-40.405,105.896,-129.27200000000002,None,3
0.988,-0.454,0.5670000000000001,-38.147,106.628,-129.88299999999998,None,3
0.995,-0.487,0.526,-33.142,108.459,-131.287,None,3
1.014,-0.478,0.498,-30.396,111.755,-134.338,None,3
1.037,-0.435,0.489,-29.48,115.845,-138.306,None,3
1.064,-0.364,0.507,-29.541,120.728,-141.846,None,3
1.102,-0.271,0.562,-32.288000000000004,125.671,-144.531,None,3
1.083,-0.18600000000000005,0.6609999999999999,-38.757,128.967,-145.08100000000005,None,3
1.069,-0.154,0.7440000000000001,-34.546,131.287,-143.982,None,3
1.068,-0.172,0.835,-24.292,133.423,-141.968,None,3
1.0659999999999998,-0.217,0.92,-15.93,134.399,-140.076,None,3
1.0590000000000002,-0.254,0.989,-11.841,133.24,-139.343,None,3
1.0490000000000002,-0.276,1.031,-11.23,130.798,-139.77100000000002,None,3
1.042,-0.248,1.067,-11.597,127.991,-141.541,None,3
1.038,-0.189,1.102,-12.451,125.244,-143.127,None,3
1.022,-0.126,1.171,-18.494,122.131,-143.127,None,3
0.994,-0.092,1.249,-25.94,117.737,-140.808,None,3
0.97,-0.142,1.289,-25.818,111.938,-136.78,None,3
0.949,-0.205,1.301,-24.475,104.98,-133.545,None,3
0.934,-0.297,1.272,-22.888,97.656,-131.226,None,3
0.92,-0.307,1.165,-22.278,92.163,-130.859,None,3
0.907,-0.199,1.116,-29.724,87.036,-131.714,None,3
0.905,-0.16399999999999998,1.283,-43.762,84.595,-133.118,None,3
0.841,-0.14300000000000002,1.315,-34.912,75.317,-136.047,None,3
0.8190000000000001,-0.036000000000000004,1.444,-33.691,69.763,-134.52100000000002,None,3
0.777,-0.011,1.521,-52.368,62.683,-131.226,None,3
0.725,-0.056,1.505,-48.401,54.504,-127.808,None,3
0.691,-0.058,1.4480000000000002,-37.659,47.607,-122.986,None,3
0.6629999999999999,-0.025,1.361,-37.964,41.74800000000001,-117.859,None,3
0.613,0.128,1.267,-44.006,34.912,-112.244,None,3
0.5870000000000001,0.208,1.263,-52.429,27.1,-105.652,None,3
0.53,0.218,1.226,-52.979,19.653,-101.501,None,3
0.486,0.151,1.134,-40.222,16.602,-97.717,None,3
0.46,0.158,1.05,-33.875,14.587,-92.468,None,3
0.422,0.242,1.056,-48.706,11.169,-85.205,None,3
0.385,0.34,1.145,-65.186,6.104,-76.843,None,3
0.343,0.383,1.161,-65.002,0.916,-67.688,None,3
0.318,0.402,1.157,-59.387,-3.052,-57.434,None,3
0.293,0.409,1.078,-52.063,-7.019,-46.753,None,3
0.279,0.353,1.01,-45.776,-10.071,-36.316,None,3
0.27,0.333,0.979,-43.701,-12.207,-27.161,None,3
0.247,0.292,0.93,-40.771,-13.855,-18.738,None,3
0.248,0.239,0.908,-31.433000000000003,-14.038,-11.414,None,3
0.26,0.134,0.865,-18.372,-13.672,-5.127000000000002,None,3
0.281,0.034,0.846,-7.751,-11.902,0.061,None,3
0.293,-0.063,0.825,-2.441,-10.986,5.4929999999999986,None,3
0.305,-0.14400000000000002,0.8109999999999999,1.3430000000000002,-10.437,10.864,None,3
0.308,-0.214,0.769,5.249,-10.071,15.32,None,3
0.32,-0.28300000000000003,0.7490000000000001,9.277,-9.888,18.555,None,3
0.331,-0.374,0.713,11.78,-9.888,21.301,None,3
0.328,-0.4320000000000001,0.672,10.986,-9.827,22.4,None,3
0.327,-0.456,0.639,8.057,-9.277,21.973000000000006,None,3
0.328,-0.46,0.637,4.6389999999999985,-7.996,21.118,None,3
0.333,-0.431,0.6509999999999999,2.441,-5.615,20.142,None,3
0.341,-0.404,0.6779999999999999,3.174,-2.869,19.775,None,3
0.358,-0.384,0.738,3.662,-0.61,19.958,None,3
0.368,-0.416,0.779,6.042000000000002,0.183,20.874,None,3
0.385,-0.466,0.7929999999999999,11.78,-0.122,22.888,None,3
0.392,-0.514,0.7809999999999999,17.883,-0.977,24.292,None,3
0.405,-0.5920000000000001,0.755,22.827,-1.831,24.902,None,3
0.412,-0.6579999999999999,0.727,23.804,-2.319,24.658,None,3
0.424,-0.691,0.705,19.409,-2.93,22.888,None,3
0.416,-0.711,0.691,16.052,-2.869,20.203,None,3
0.42,-0.7090000000000001,0.69,10.254,-2.6860000000000004,17.212,None,3
