,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,beat_change,beat,dynamic,x,y,z,dist
10290,-0.386,0.226,-0.78,-48.659,-7.987999999999999,11.159,None,4,n,1.1654199632525375,-0.44393953773793526,3.209132314160822,2.2511303655789794
10291,-0.38799999999999996,0.23399999999999999,-0.772,-47.927,-7.9270000000000005,11.22,None,4,n,1.174714456394965,-0.4480769476149771,3.2292867544946318,2.257669657931309
10292,-0.385,0.23600000000000002,-0.77,-47.378,-7.8660000000000005,11.159,None,4,n,1.1840489340278049,-0.4522384158539584,3.2494907819434307,2.2641842145325946
10293,-0.389,0.23600000000000002,-0.7609999999999999,-46.768,-7.439,10.975999999999999,None,4,n,1.1934235495303753,-0.45642394728345775,3.2697447533207114,2.270738747016192
10294,-0.389,0.24100000000000002,-0.755,-45.976000000000006,-7.805,10.854000000000001,None,4,n,1.202838362393656,-0.46063358906665985,3.2900487180155147,2.2773027192740476
10295,-0.38799999999999996,0.24600000000000002,-0.745,-45.36600000000001,-8.537,10.671,None,4,n,1.2122933369152582,-0.4648673311522021,3.3104027676842134,2.2838748940493447
10296,-0.38799999999999996,0.247,-0.747,-44.878,-9.207,10.549000000000001,None,4,n,1.2217885296229485,-0.4691252126039163,3.330806761368768,2.290439253270801
10297,-0.389,0.254,-0.7340000000000001,-44.146,-9.085,10.549000000000001,None,4,n,1.2313240216363983,-0.4734072737754491,3.3512609904117103,2.2970353535730816
10298,-0.384,0.256,-0.727,-43.293,-8.415,10.427,None,4,n,1.2408995241937288,-0.47771338873013597,3.371765244258017,2.3036000109007553
10299,-0.377,0.252,-0.722,-42.56100000000001,-8.78,10.061,None,4,n,1.2505145409429712,-0.4820432926156833,3.3923191472806544,2.3101072360613046
10300,-0.369,0.251,-0.721,-42.13399999999999,-10.183,10.0,None,4,n,1.2601686181751628,-0.4863967953604002,3.4129221677714057,2.3165462367405776
10301,-0.368,0.259,-0.7040000000000001,-41.341,-11.524000000000001,9.817,None,4,n,1.2698617008644126,-0.4907738760967787,3.4335745962142066,2.3230098759549485
10302,-0.365,0.263,-0.698,-40.732,-12.195,9.878,None,4,n,1.2795936545109217,-0.49517449541211644,3.454276331513648,2.3294596294945142
10303,-0.359,0.262,-0.6940000000000001,-39.878,-12.317,9.817,None,4,n,1.2893641025402658,-0.4995984747065766,3.475027046980144,2.335862666903595
10304,-0.355,0.267,-0.685,-38.841,-12.622,9.573,None,4,n,1.2991728426655342,-0.5040457449633952,3.4958266653747017,2.342250458301699
10305,-0.35,0.273,-0.675,-38.171,-12.927,9.207,None,4,n,1.3090196258812952,-0.5085162268465021,3.516675079172945,2.348618116825629
10306,-0.34600000000000003,0.27399999999999997,-0.6709999999999999,-37.622,-13.049000000000001,9.085,None,4,n,1.318904221850699,-0.5130098202614385,3.537572089270067,2.354957855793457
10307,-0.345,0.271,-0.672,-36.585,-13.171,8.902000000000003,None,4,n,1.3288265383561468,-0.5175264549582572,3.558517548619043,2.3612806295703055
10308,-0.336,0.272,-0.67,-35.671,-13.415,8.658999999999999,None,4,n,1.3387860910403162,-0.5220659498429118,3.5795109153670643,2.3675327894107125
10309,-0.33399999999999996,0.275,-0.6629999999999999,-34.878,-13.902000000000001,8.476,None,4,n,1.3487827651111381,-0.5266282547488729,3.600552194743836,2.373780858345106
10310,-0.336,0.28,-0.66,-33.963,-14.512,8.293,None,4,n,1.35881674295601,-0.5312134743052307,3.6216415285787202,2.380052418268501
10311,-0.33899999999999997,0.276,-0.649,-32.744,-15.427,8.232000000000001,None,4,n,1.368888006027346,-0.5358214850460823,3.6427793304508747,2.38635867133655
10312,-0.335,0.276,-0.6459999999999999,-31.768,-15.975999999999999,8.049,None,4,n,1.3789963115055004,-0.5404521759519089,3.663965393742134,2.3926353999016294
10313,-0.317,0.281,-0.6409999999999999,-30.854,-16.28,7.805,None,4,n,1.3891407258822186,-0.5451052350169345,3.685198736729223,2.3987808489241917
10314,-0.313,0.28300000000000003,-0.635,-29.756,-16.524,7.622000000000001,None,4,n,1.3993210123069717,-0.5497805609141087,3.7064792369669473,2.4049045600658974
10315,-0.313,0.28300000000000003,-0.627,-28.901999999999997,-17.317,7.5,None,4,n,1.409537092500493,-0.5544780739768161,3.7278070650685087,2.411039558000906
10316,-0.315,0.287,-0.617,-27.927,-18.293,7.561,None,4,n,1.4197890502931387,-0.559197789295812,3.749182566930264,2.4172100262833003
10317,-0.317,0.29,-0.618,-26.829,-18.902,7.744,None,4,n,1.4300770654527901,-0.5639398069150001,3.7706058007310324,2.4233962398012774
10318,-0.315,0.29600000000000004,-0.613,-25.79300000000001,-19.207,7.8660000000000005,None,4,n,1.4404010917481003,-0.5687041461916833,3.7920767488005356,2.4295803314418434
10319,-0.309,0.295,-0.602,-25.0,-19.085,7.744,None,4,n,1.450760668983517,-0.5734905583091887,3.8135953176497197,2.4357327168066827
10320,-0.309,0.299,-0.602,-24.268,-19.024,7.683,None,4,n,1.461155874220106,-0.5782991115973272,3.835161478907536,2.441888179327251
10321,-0.313,0.306,-0.59,-23.476,-18.415,7.805,None,4,n,1.4715869282360265,-0.5831298917928198,3.85677576374997,2.448102600852529
10322,-0.312,0.312,-0.59,-22.378,-17.744,7.987999999999999,None,4,n,1.482053889111038,-0.5879829828972246,3.87843808745846,2.4543146328009264
10323,-0.307,0.318,-0.586,-21.340999999999998,-17.317,7.9270000000000005,None,4,n,1.4925565540886503,-0.5928583517725718,3.900148236361761,2.4604994588622997
10324,-0.304,0.32,-0.583,-20.61,-16.707,7.805,None,4,n,1.5030947646748636,-0.5977559390659178,3.9219060898447657,2.4666666411236515
10325,-0.312,0.322,-0.5760000000000001,-19.817,-15.732000000000001,7.9270000000000005,None,4,n,1.5136689142873705,-0.6026758591352657,3.9437122902160735,2.472910487967719
