aX,aY,aZ,gX,gY,gZ,beat_change,beat
-0.147,0.5820000000000001,-0.955,9.634,51.768,10.732,None,3
-0.162,0.585,-0.971,9.085,50.36600000000001,10.671,None,3
-0.197,0.583,-0.967,8.049,47.988,11.22,None,3
-0.245,0.5720000000000001,-0.99,8.658999999999999,49.32899999999999,10.976,None,3
-0.229,0.516,-1.0490000000000002,8.597999999999999,51.707,12.073,None,3
-0.217,0.502,-1.085,5.183,48.476000000000006,13.841,None,3
-0.21,0.503,-1.09,2.195,43.232,15.488,None,3
-0.191,0.51,-1.095,0.8540000000000001,35.915,17.256,None,3
-0.192,0.505,-1.098,-0.122,28.78,18.841,None,3
-0.174,0.513,-1.113,-2.439,23.293000000000006,20.488000000000003,None,3
-0.153,0.531,-1.101,-5.061,18.78,21.768,None,3
-0.145,0.5429999999999999,-1.0759999999999998,-7.317,16.89,22.012,None,3
-0.131,0.5529999999999999,-1.058,-8.658999999999999,16.951,22.195,None,3
-0.115,0.557,-1.052,-9.634,17.744,22.378,None,3
-0.103,0.57,-1.046,-10.915,18.659,22.927,None,3
-0.081,0.584,-1.034,-12.073,19.268,23.476,None,3
-0.067,0.595,-1.024,-13.11,19.634,23.476,None,3
-0.062,0.578,-0.999,-14.024,20.671,23.598000000000006,None,3
-0.052000000000000005,0.5660000000000001,-0.971,-15.061,24.756,24.024,None,3
-0.019,0.583,-0.951,-15.915,31.28,23.537,None,3
0.021,0.593,-0.942,-16.402,36.28,22.439,None,3
0.05,0.606,-0.932,-17.073,38.415,21.402,None,3
0.075,0.622,-0.916,-17.866,38.415,20.793000000000006,None,3
0.08800000000000001,0.624,-0.8959999999999999,-18.354,35.976,20.976,None,3
0.097,0.633,-0.8690000000000001,-18.537,34.146,20.976,None,3
0.116,0.635,-0.848,-18.293,32.805,20.793000000000006,None,3
0.122,0.627,-0.8340000000000001,-17.988,31.524,20.061,None,3
0.152,0.622,-0.8240000000000001,-17.744,32.622,19.268,None,3
0.179,0.629,-0.812,-18.476,31.28,18.293,None,3
0.184,0.6579999999999999,-0.784,-18.78,27.683000000000003,17.5,None,3
0.195,0.6679999999999999,-0.77,-17.378,23.171,16.89,None,3
0.184,0.659,-0.762,-16.159000000000002,18.841,16.585,None,3
0.207,0.6559999999999999,-0.757,-16.22,17.012,15.854,None,3
0.236,0.652,-0.762,-15.793,12.255999999999998,14.755999999999998,None,3
0.236,0.65,-0.752,-15.488,4.756,14.207,None,3
0.223,0.635,-0.737,-15.0,-1.341,13.476,None,3
0.228,0.647,-0.742,-14.39,-5.792999999999998,12.805,None,3
0.208,0.665,-0.732,-14.207,-9.817,11.829,3beats_2,3
0.198,0.6709999999999999,-0.725,-13.963,-11.402,10.366,None,3
0.163,0.648,-0.698,-13.171,-12.378,9.329,None,3
0.129,0.623,-0.6629999999999999,-13.902,-4.39,7.805,None,3
0.209,0.687,-0.698,-13.476,0.732,7.683,None,3
0.232,0.66,-0.701,-10.427,-7.0120000000000005,7.317,None,3
0.229,0.657,-0.705,-9.756,-14.451,6.524,None,3
0.227,0.638,-0.6990000000000001,-9.939,-19.512,5.3660000000000005,None,3
0.219,0.643,-0.684,-9.939,-25.305,5.183,None,3
0.21,0.639,-0.6659999999999999,-9.024,-29.695,5.305,None,3
0.212,0.645,-0.662,-7.5,-30.549,4.268,None,3
0.212,0.635,-0.6609999999999999,-6.829,-28.902,2.866,None,3
0.227,0.642,-0.6779999999999999,-6.341,-28.11,1.524,None,3
0.243,0.635,-0.6829999999999999,-5.4270000000000005,-30.671,0.488,None,3
0.25,0.63,-0.684,-4.329,-35.793,0.061,None,3
0.243,0.626,-0.682,-3.72,-41.22,-0.4270000000000001,None,3
0.204,0.613,-0.6559999999999999,-3.4760000000000004,-42.43899999999999,-2.012,None,3
0.239,0.645,-0.6779999999999999,-3.049,-40.122,-3.4760000000000004,None,3
0.253,0.649,-0.687,-1.402,-45.06100000000001,-4.268,None,3
0.227,0.642,-0.682,-0.5489999999999999,-49.93899999999999,-5.244,None,3
0.21,0.627,-0.6729999999999999,0.0,-51.524,-6.462999999999999,None,3
0.2,0.628,-0.679,0.6709999999999999,-51.22,-7.256,None,3
0.21,0.64,-0.6859999999999999,1.28,-51.28,-8.476,None,3
0.187,0.637,-0.682,2.073,-52.195,-10.305,None,3
0.181,0.618,-0.703,2.622,-52.012,-11.585,None,3
0.152,0.6,-0.7020000000000001,2.866,-53.049,-12.255999999999998,None,3
0.117,0.583,-0.6940000000000001,2.5,-49.756,-13.293,None,3
0.127,0.586,-0.698,2.012,-43.902,-14.573,None,3
0.127,0.605,-0.6940000000000001,2.073,-42.256,-15.976,None,3
0.104,0.598,-0.6890000000000001,3.5980000000000003,-42.744,-17.5,None,3
0.069,0.578,-0.7,4.085,-43.049,-18.476,None,3
0.025,0.5479999999999999,-0.696,3.72,-42.378,-18.963,None,3
0.018000000000000002,0.56,-0.682,2.744,-39.817,-18.841,None,3
0.005,0.56,-0.662,3.049,-38.598,-18.902,None,3
0.01,0.575,-0.66,3.5980000000000003,-38.598,-19.024,None,3
0.0,0.597,-0.6659999999999999,5.061,-43.841,-18.902,None,3
-0.048,0.583,-0.65,5.976,-48.232,-18.78,None,3
-0.073,0.5920000000000001,-0.635,5.305,-47.744,-18.598,None,3
-0.098,0.598,-0.62,5.61,-45.976000000000006,-18.049,None,3
-0.111,0.615,-0.599,6.524,-41.159,-17.927,None,3
-0.108,0.639,-0.607,7.805,-35.915,-18.537,None,3
-0.104,0.642,-0.622,9.634,-32.439,-19.085,None,3
-0.08900000000000001,0.64,-0.6509999999999999,11.098,-32.622,-18.72,None,3
-0.04,0.635,-0.708,12.744000000000002,-39.817,-17.5,None,3
0.013,0.604,-0.787,15.061,-59.817,-14.878,None,3
-0.095,0.588,-0.7659999999999999,14.512,-82.012,-11.89,None,3
-0.111,0.643,-0.764,11.646,-84.512,-11.768,None,3
-0.16399999999999998,0.595,-0.738,13.476,-83.23200000000001,-12.255999999999998,None,3
-0.238,0.574,-0.71,13.476,-68.171,-12.866,None,3
-0.182,0.633,-0.752,12.317,-45.732,-14.024,None,3
-0.206,0.61,-0.733,11.646,-30.0,-14.817,None,3
-0.2,0.604,-0.7190000000000001,10.61,-8.415,-18.598,None,3
-0.166,0.606,-0.75,12.378,8.171,-20.488000000000003,None,3
-0.168,0.563,-0.785,14.634,12.683,-19.512,None,3
-0.168,0.526,-0.8009999999999999,14.207,15.976,-18.598,None,3
-0.098,0.551,-0.8440000000000001,11.951,16.585,-17.5,None,3
-0.066,0.55,-0.848,11.524,4.573,-15.793,None,3
-0.09,0.547,-0.828,11.707,-8.841000000000003,-14.451,None,3
-0.119,0.5329999999999999,-0.825,12.195,-16.951,-13.841,None,3
-0.147,0.525,-0.815,11.768,-20.915,-13.11,None,3
-0.161,0.521,-0.807,11.341,-20.183,-12.317,None,3
-0.16699999999999998,0.528,-0.8079999999999999,10.854,-16.585,-11.28,None,3
-0.17800000000000002,0.52,-0.797,10.061,-9.573,-11.646,None,3
-0.293,0.457,-0.7190000000000001,9.634,7.377999999999999,-13.78,None,3
-0.298,0.484,-0.693,7.317,47.56100000000001,-17.866,None,3
-0.17,0.54,-0.7290000000000001,5.61,75.366,-18.902,None,3
-0.191,0.5670000000000001,-0.688,7.0120000000000005,86.95100000000002,-19.695,None,3
-0.132,0.619,-0.725,8.537,98.476,-21.28,None,3
-0.103,0.621,-0.75,9.451,96.585,-21.402,None,3
-0.092,0.615,-0.7709999999999999,9.634,85.427,-20.0,None,3
-0.101,0.602,-0.768,9.878,69.634,-17.439,None,3
-0.119,0.596,-0.759,10.61,53.476000000000006,-14.817,None,3
-0.125,0.58,-0.75,11.28,40.366,-12.744000000000002,None,3
-0.14,0.5720000000000001,-0.75,12.134,31.402,-11.524,None,3
-0.157,0.564,-0.75,12.378,26.524,-10.549,None,3
