aX,aY,aZ,gX,gY,gZ,,,,
-0.576,0.223,-0.03,80.566,-60.791,-75.012,,,,
-0.063,1.097,-1.225,87.524,-65.857,-81.177,,,,
-0.547,2.746,0.889,-255.859,-35.645,-47.913,,,,
-0.154,-1.506,-0.631,133.423,23.804,2.136,,,,
-1.042,1.934,-0.622,-4.028,55.359,-9.949,,,,
-0.781,0.947,-0.538,-24.292,5.493,-9.277,,,,
-1.014,1.098,-0.322,19.043,34.302,5.005,,,,
-0.727,0.694,-0.261,-10.193,18.86,10.986,,,,
-0.775,0.693,-0.21,-4.639,14.16,8.667,,,,
-0.805,0.653,-0.25,-4.089,10.559,9.094,,,,
-0.759,0.623,-0.243,0.671,5.859,9.705,,,,
-0.749,0.666,-0.211,1.77,3.967,10.376,,,,
-0.71,0.658,-0.214,11.597,-0.366,10.01,,,,
-0.715,0.717,-0.234,13.062,-2.258,9.521,,,,
-0.699,0.759,-0.389,17.456,-6.042,10.071,,,,
-0.693,0.859,-0.546,9.766,-6.042,12.268,,,,
-0.664,0.854,-0.741,5.798,-5.31,15.32,,,,
-0.656,0.825,-0.84,-1.16,-0.427,18.25,,,,
-0.651,0.804,-0.881,-7.629,4.7,21.301,,,,
-0.638,0.748,-0.859,-11.658,12.146,24.353,,,,
-0.63,0.702,-0.802,-14.038,18.555,26.428,,,,
-0.637,0.64,-0.713,-13.916,25.146,28.198,,,,
-0.648,0.631,-0.639,-12.512,29.541,28.503,,,,
-0.66,0.633,-0.559,-8.24,32.837,29.053,,,,
-0.678,0.615,-0.516,-3.357,33.936,29.785,,,,
-0.688,0.571,-0.47,1.038,35.156,30.762,,,,
-0.687,0.521,-0.456,3.845,35.583,31.067,,,,
-0.694,0.497,-0.417,3.052,36.011,30.701,,,,
-0.694,0.466,-0.376,2.258,36.072,29.663,,,,
-0.686,0.431,-0.328,1.953,35.522,28.687,,,,
-0.689,0.414,-0.296,0.732,34.302,26.733,,,,
-0.701,0.401,-0.248,-1.282,33.02,25.024,,,,
-0.702,0.377,-0.208,-3.723,31.372,23.376,,,,
-0.701,0.364,-0.166,-7.507,29.358,21.301,,,,
-0.697,0.364,-0.115,-8.24,27.283,18.921,,,,
-0.709,0.361,-0.071,-5.371,24.536,16.479,,,,
-0.716,0.352,-0.046,-2.075,21.057,14.038,,,,
-0.729,0.347,-0.034,-1.038,17.09,12.146,,,,
-0.721,0.323,-0.03,-2.502,13.062,10.315,,,,
-0.701,0.302,-0.044,-3.479,8.789,8.423,,,,
-0.711,0.298,-0.069,-1.831,4.822,5.676,,,,
-0.719,0.288,-0.108,-0.854,0.854,3.174,,,,
-0.712,0.27,-0.116,-1.587,-1.526,1.16,,,,
-0.701,0.237,-0.106,-3.174,-3.418,-0.916,,,,
-0.684,0.207,-0.056,-4.089,-5.005,-3.296,,,,
-0.676,0.181,0.004,-1.343,-6.958,-5.92,,,,
-0.677,0.151,0.058,2.991,-9.583,-8.972,,,,
-0.69,0.123,0.131,2.991,-13.062,-12.268,,,,
-0.679,0.064,0.205,-0.061,-17.639,-15.442,,,,
-0.651,0.005,0.273,-2.747,-23.621,-19.714,,,,
-0.631,-0.033,0.34,-0.854,-30.701,-25.574,,,,
-0.611,-0.042,0.338,6.287,-39.551,-32.776,,,,
-0.604,-0.033,0.321,14.465,-48.645,-40.649,,,,
-0.59,-0.028,0.28,23.376,-57.495,-48.34,,,,
-0.548,0.012,0.161,28.931,-66.895,-56.458,,,,
-0.535,0.123,0.031,30.945,-75.012,-65.186,,,,
-0.529,0.254,-0.111,34.607,-80.994,-72.449,,,,
-1.232,1.543,-1.626,37.842,-84.778,-78.186,,,,
-1.052,2.697,-0.834,-230.469,-13.123,-27.1,,,,
-0.26,-1.076,-0.995,42.358,-27.039,-1.831,,,,
-0.556,0.637,2.393,-45.044,44.373,-1.587,,,,
-1.155,2.074,-2.246,17.517,-14.832,-16.052,,,,
-0.902,0.802,-0.09,-34.912,24.597,4.761,,,,
-0.601,0.313,-0.262,-22.522,-11.475,12.39,,,,
-0.776,0.61,-0.644,-16.357,13.672,6.897,,,,
-0.84,0.507,-0.245,-2.441,-3.357,1.16,,,,
-0.772,0.603,-0.29,19.592,-1.221,3.113,,,,
-0.787,0.617,-0.361,5.859,-1.099,3.54,,,,
-0.692,0.512,-0.307,14.771,-8.301,3.601,,,,
-0.729,0.647,-0.342,6.531,-5.798,2.014,,,,
-0.714,0.56,-0.355,13.55,-11.047,1.099,,,,
-0.718,0.632,-0.4,1.526,-9.949,1.953,,,,
-0.711,0.664,-0.651,-17.639,-13.245,3.418,,,,
-0.675,0.669,-0.713,-38.391,-10.864,6.104,,,,
-0.655,0.667,-0.789,-50.476,-7.996,7.874,,,,
-0.648,0.667,-0.763,-54.321,-2.319,9.094,,,,
-0.669,0.661,-0.808,-52.551,2.014,10.254,,,,
-0.683,0.648,-0.8,-55.847,7.507,12.024,,,,
-0.695,0.653,-0.796,-65.125,11.841,14.099,,,,
-0.684,0.646,-0.731,-71.35,16.907,16.479,,,,
-0.691,0.639,-0.708,-71.472,20.569,18.372,,,,
-0.716,0.638,-0.698,-71.472,23.56,19.836,,,,
-0.746,0.629,-0.722,-75.256,26.123,22.095,,,,
-0.758,0.62,-0.766,-86.548,28.748,24.292,,,,
