aX,aY,aZ,gX,gY,gZ,
-0.288,-0.425,0.896,5.005,78.491,94.543,
-0.266,-0.58,0.938,11.78,77.942,94.91,
-0.25,-0.734,0.99,16.479,76.416,93.018,
-0.237,-0.86,1.041,19.531,74.097,88.623,
-0.222,-0.974,1.097,20.264,70.801,82.764,
-0.22,-1.063,1.15,16.052,66.162,75.256,
-0.224,-1.127,1.202,10.254,60.669,66.589,
-0.225,-1.182,1.242,5.676,54.749,57.373,
-0.218,-1.207,1.271,1.221,48.584,47.607,
-0.221,-1.215,1.279,-4.272,41.626,37.842,
-0.229,-1.181,1.28,-10.193,34.668,28.137,
-0.233,-1.139,1.283,-13.672,28.564,18.677,
-0.222,-1.082,1.282,-16.235,22.949,10.376,
-0.226,-1.03,1.255,-19.043,16.907,3.296,
-0.228,-0.977,1.215,-20.63,11.169,-3.174,
-0.226,-0.94,1.166,-21.973,6.042,-8.118,
-0.235,-0.902,1.107,-23.499,1.77,-12.817,
-0.237,-0.868,1.048,-23.926,-1.099,-17.334,
-0.235,-0.838,0.986,-23.926,-3.235,-21.24,
-0.245,-0.828,0.92,-23.743,-4.7,-24.353,
-0.255,-0.805,0.865,-23.743,-5.188,-27.954,
-0.245,-0.786,0.816,-23.499,-4.822,-31.311,
-0.243,-0.771,0.763,-23.987,-4.333,-34.241,
-0.255,-0.749,0.718,-24.048,-3.479,-37.415,
-0.254,-0.722,0.69,-23.56,-1.404,-40.466,
-0.246,-0.685,0.66,-23.254,0.793,-43.396,
-0.242,-0.653,0.636,-22.278,3.113,-46.143,
-0.24,-0.622,0.62,-22.461,5.737,-48.523,
-0.236,-0.588,0.603,-22.705,8.301,-50.659,
-0.235,-0.57,0.587,-22.461,11.108,-52.673,
-0.237,-0.54,0.568,-21.851,14.099,-54.626,
-0.24,-0.51,0.564,-21.362,17.334,-56.458,
-0.232,-0.473,0.569,-20.996,20.874,-58.105,
-0.237,-0.436,0.576,-20.142,24.109,-59.448,
-0.235,-0.408,0.584,-18.921,27.222,-60.425,
-0.229,-0.391,0.585,-17.944,30.151,-61.096,
-0.245,-0.369,0.594,-17.578,32.898,-61.584,
-0.249,-0.341,0.617,-16.296,36.011,-62.561,
-0.256,-0.307,0.658,-13.306,39.49,-63.171,
-0.259,-0.257,0.719,-9.033,42.786,-63.354,
-0.246,-0.195,0.763,-4.822,45.044,-63.538,
-0.253,-0.149,0.804,-3.967,45.776,-62.683,
-0.283,-0.094,0.85,-2.991,45.776,-61.34,
-0.292,-0.038,0.926,-0.183,46.448,-59.814,
-0.291,0.012,0.993,3.418,46.753,-57.251,
-0.301,0.065,1.043,5.981,45.288,-53.894,
-0.313,0.104,1.088,8.301,42.664,-49.805,
-0.322,0.129,1.137,9.766,39.734,-45.471,
-0.333,0.146,1.172,10.681,36.56,-40.771,
-0.332,0.145,1.198,12.146,33.142,-35.583,
-0.339,0.14,1.221,13.367,29.785,-30.457,
-0.348,0.125,1.247,14.893,26.489,-25.452,
-0.343,0.105,1.261,15.991,22.949,-20.813,
-0.339,0.072,1.259,16.663,18.677,-16.357,
-0.348,0.027,1.265,15.747,14.648,-12.207,
-0.35,-0.016,1.27,14.771,10.864,-8.85,
-0.357,-0.051,1.281,15.137,7.446,-6.409,
-0.357,-0.086,1.302,15.93,3.967,-4.7,
-0.352,-0.119,1.314,16.724,0.244,-3.052,
-0.353,-0.15,1.313,17.09,-4.211,-1.77,
-0.361,-0.179,1.318,17.273,-8.545,-0.854,
-0.367,-0.2,1.331,17.273,-12.756,-0.488,
-0.355,-0.221,1.347,17.822,-16.907,-0.183,
-0.346,-0.233,1.339,16.541,-22.095,0,
-0.356,-0.239,1.33,15.442,-27.771,-0.366,
-0.359,-0.234,1.344,15.259,-32.654,-0.732,
-0.35,-0.229,1.356,15.686,-37.292,-1.099,
-0.35,-0.214,1.37,16.907,-42.114,-0.916,
-0.352,-0.193,1.391,19.287,-47.424,-0.671,
-0.361,-0.178,1.434,23.01,-52.49,0,
-0.338,-0.174,1.483,28.381,-57.678,0.793,
-0.304,-0.187,1.492,32.166,-64.758,2.136,
-0.297,-0.221,1.461,33.142,-73.547,3.174,
-0.292,-0.283,1.422,31.921,-82.397,3.845,
-0.277,-0.343,1.369,30.212,-89.966,3.967,
-0.268,-0.395,1.294,27.832,-96.863,3.174,
-0.262,-0.426,1.211,24.292,-103.149,1.404,
-0.273,-0.443,1.131,19.836,-108.215,-0.61,
-0.281,-0.448,1.056,16.113,-112.061,-2.869,
-0.291,-0.444,0.994,12.451,-114.99,-4.639,
-0.298,-0.424,0.927,9.705,-117.126,-5.981,
-0.296,-0.401,0.847,5.981,-119.019,-6.714,
-0.317,-0.368,0.764,1.953,-120.544,-7.446,
-0.353,-0.341,0.699,0.61,-120.911,-7.507,
-0.341,-0.331,0.631,1.587,-119.629,-7.141,
-0.367,-0.313,0.581,-0.977,-118.164,-6.653,
-0.379,-0.304,0.517,-2.747,-116.211,-5.92,
-0.401,-0.295,0.442,-4.517,-114.197,-4.822,
-0.424,-0.296,0.368,-5.066,-111.45,-3.54,
-0.448,-0.298,0.306,-5.066,-107.361,-2.014,
-0.474,-0.316,0.249,-3.967,-102.478,-0.488,
-0.482,-0.331,0.184,-2.441,-97.046,0.793,
-0.502,-0.341,0.126,-2.808,-91.553,1.648,
-0.535,-0.356,0.08,-4.333,-85.144,2.38,
-0.551,-0.358,0.047,-5.554,-78.186,2.502,
-0.564,-0.354,0.015,-7.202,-70.984,2.686,
-0.581,-0.347,-0.009,-8.728,-63.66,2.808,
-0.593,-0.336,-0.024,-10.498,-56.213,3.479,
-0.601,-0.339,-0.044,-10.925,-48.889,4.272,
-0.619,-0.344,-0.068,-10.498,-41.443,4.761,
-0.627,-0.355,-0.096,-9.338,-33.813,5.371,
-0.635,-0.356,-0.117,-8.789,-25.696,5.737,
-0.654,-0.344,-0.117,-9.338,-17.151,5.981,
-0.644,-0.322,-0.102,-7.996,-8.667,6.104,
-0.649,-0.304,-0.057,-7.141,-0.549,6.47,
-0.642,-0.271,-0.006,-6.226,7.874,7.08,
-0.631,-0.246,0.038,-4.456,15.076,8.179,
-0.63,-0.224,0.075,-2.258,21.423,9.705,
-0.624,-0.209,0.104,-0.854,26.978,11.414,
-0.619,-0.199,0.133,-0.366,31.982,13.367,
-0.614,-0.188,0.166,-1.16,36.865,15.32,
-0.617,-0.173,0.205,-2.075,41.565,17.212,
-0.609,-0.157,0.247,-2.563,46.204,19.348,
-0.594,-0.134,0.286,-3.601,50.598,21.729,
-0.584,-0.11,0.322,-5.493,54.26,24.231,
-0.576,-0.087,0.352,-7.874,57.617,27.1,
-0.563,-0.067,0.373,-11.658,60.608,30.396,
-0.551,-0.047,0.388,-16.235,63.354,33.875,
-0.538,-0.034,0.398,-20.447,66.101,37.659,
-0.535,-0.016,0.418,-22.949,69.275,41.565,
-0.525,0.002,0.465,-22.644,73.364,45.593,
-0.493,0.014,0.527,-20.63,77.576,49.988,
-0.462,0.031,0.588,-19.958,80.688,54.81,
-0.441,0.024,0.632,-19.165,82.52,60.059,
-0.414,0.014,0.668,-19.836,83.191,65.002,
-0.385,-0.017,0.695,-20.935,83.557,70.129,
-0.363,-0.077,0.706,-20.081,83.679,74.89,
-0.339,-0.152,0.723,-18.799,84.412,78.796,
-0.33,-0.243,0.754,-17.761,85.205,82.092,
-0.309,-0.361,0.79,-13.367,86.304,84.106,
-0.29,-0.48,0.841,-8.606,87.097,84.656,
-0.271,-0.595,0.903,-1.953,87.891,83.618,
-0.245,-0.692,0.968,4.089,87.341,80.811,
-0.234,-0.759,1.01,6.348,84.839,76.538,
-0.241,-0.819,1.086,7.507,81.299,71.289,
-0.237,-0.872,1.174,9.033,77.637,65.613,
-0.235,-0.919,1.261,10.62,72.876,59.57,
-0.224,-0.973,1.331,11.841,67.017,53.406,
-0.227,-1.011,1.37,9.644,59.387,46.631,
-0.229,-1.03,1.397,5.127,50.781,39.551,
-0.243,-1.035,1.422,-0.305,42.114,31.921,
-0.232,-1.019,1.43,-6.226,33.447,24.353,
-0.234,-0.986,1.412,-11.963,24.902,17.09,
-0.239,-0.951,1.385,-16.541,16.907,10.559,
-0.247,-0.907,1.349,-19.104,10.01,4.822,
-0.243,-0.857,1.307,-19.653,4.028,-0.122,
-0.241,-0.814,1.254,-19.714,-1.038,-4.272,
-0.245,-0.774,1.201,-21.057,-5.554,-7.385,
-0.245,-0.745,1.142,-22.583,-8.972,-10.01,
-0.248,-0.716,1.08,-23.01,-11.414,-12.878,
-0.248,-0.692,1.022,-23.01,-13.123,-15.259,
-0.25,-0.677,0.964,-23.56,-14.587,-16.846,
-0.259,-0.661,0.905,-24.475,-15.503,-18.616,
-0.265,-0.638,0.854,-24.536,-15.808,-20.386,
-0.266,-0.62,0.809,-23.621,-15.259,-21.79,
-0.263,-0.603,0.77,-22.461,-14.465,-22.827,
-0.257,-0.583,0.733,-22.156,-13.123,-23.926,
-0.255,-0.573,0.692,-21.362,-11.963,-24.658,
-0.257,-0.569,0.648,-19.836,-10.62,-25.085,
-0.252,-0.596,0.599,-17.822,-8.545,-25.635,
-0.255,-0.619,0.553,-16.846,-6.104,-26.855,
-0.254,-0.663,0.51,-15.686,-2.686,-28.503,
-0.241,-0.682,0.48,-15.137,1.099,-31.006,
-0.23,-0.714,0.451,-14.587,5.554,-34.241,
-0.225,-0.725,0.43,-15.869,10.193,-37.903,
-0.225,-0.717,0.425,-16.235,15.198,-42.114,
-0.217,-0.695,0.439,-15.686,20.569,-46.57,
-0.21,-0.655,0.463,-14.465,25.818,-50.659,
-0.205,-0.619,0.492,-12.024,30.762,-54.321,
-0.202,-0.591,0.519,-9.644,35.095,-57.434,
-0.195,-0.57,0.542,-8.606,38.818,-60.303,
-0.186,-0.545,0.559,-9.094,41.87,-63.232,
-0.183,-0.515,0.575,-10.376,44.495,-66.101,
-0.189,-0.463,0.597,-12.268,46.997,-68.909,
-0.194,-0.396,0.637,-13.672,49.988,-71.35,
-0.19,-0.326,0.692,-14.771,52.795,-72.754,
-0.188,-0.246,0.746,-14.038,54.932,-73.73,
-0.192,-0.182,0.793,-11.841,56.458,-73.364,
-0.202,-0.118,0.83,-10.803,57.007,-72.51,
-0.21,-0.059,0.872,-10.437,57.19,-71.045,
-0.225,-0.017,0.897,-8.85,56.885,-68.481,
-0.242,0.031,0.923,-8.118,56.213,-65.552,
-0.256,0.075,0.959,-6.958,56.03,-62.439,
-0.261,0.117,1.005,-4.639,55.847,-58.899,
-0.266,0.144,1.056,-2.502,55.054,-54.626,
-0.271,0.174,1.099,-1.526,53.467,-50.293,
-0.276,0.201,1.129,-0.977,50.964,-45.776,
-0.288,0.226,1.155,-0.854,47.913,-40.894,
-0.3,0.241,1.187,0,44.983,-36.011,
-0.314,0.26,1.243,3.296,42.725,-30.945,
-0.307,0.269,1.301,8.057,40.405,-25.574,
-0.291,0.272,1.344,11.658,36.865,-19.775,
-0.279,0.258,1.368,13.55,31.738,-13.855,
-0.28,0.218,1.385,13.55,26.245,-8.362,
-0.297,0.165,1.407,12.939,21.179,-3.845,
-0.29,0.104,1.431,13.306,16.418,0.61,
-0.275,0.038,1.45,13.611,11.719,4.211,
-0.275,-0.018,1.464,11.963,5.798,6.714,
-0.279,-0.076,1.484,11.719,-0.305,8.423,
-0.275,-0.141,1.502,12.695,-6.042,9.521,
-0.267,-0.188,1.509,13.184,-11.841,9.644,
-0.266,-0.227,1.502,12.634,-18.494,9.46,
-0.279,-0.253,1.501,12.573,-25.146,8.484,
-0.281,-0.275,1.508,13.855,-31.189,7.324,
-0.277,-0.283,1.528,16.663,-36.743,6.104,
-0.258,-0.284,1.538,19.653,-42.664,4.944,
-0.256,-0.286,1.543,20.935,-49.561,3.967,
-0.254,-0.294,1.545,21.484,-56.824,3.052,
-0.25,-0.307,1.555,21.912,-63.843,2.197,
-0.236,-0.324,1.556,22.461,-70.984,1.526,
-0.218,-0.343,1.543,23.193,-78.43,0.732,
-0.204,-0.36,1.506,23.437,-86.304,-0.366,
-0.199,-0.371,1.464,22.888,-94.238,-1.587,
-0.187,-0.372,1.4,21.118,-101.501,-2.808,
-0.184,-0.372,1.318,18.494,-108.337,-4.089,
-0.185,-0.362,1.222,13.367,-114.441,-5.127,
-0.193,-0.344,1.122,7.812,-119.69,-5.737,
-0.212,-0.334,1.038,3.479,-123.291,-5.92,
-0.235,-0.324,0.993,2.014,-124.939,-5.981,
-0.222,-0.309,0.943,3.113,-125.488,-5.859,
-0.23,-0.303,0.882,5.188,-126.343,-5.31,
-0.244,-0.324,0.823,6.897,-127.258,-4.7,
-0.257,-0.342,0.749,6.897,-127.747,-4.089,
-0.272,-0.352,0.668,6.165,-127.563,-3.967,
-0.288,-0.354,0.58,4.333,-126.77,-4.089,
-0.313,-0.356,0.504,0.977,-124.695,-4.15,
-0.349,-0.358,0.43,-2.869,-122.07,-3.967,
-0.38,-0.349,0.37,-5.493,-118.591,-3.662,
-0.396,-0.335,0.316,-5.554,-113.77,-3.357,
-0.427,-0.336,0.292,-4.395,-108.215,-2.93,
-0.434,-0.328,0.261,-2.075,-102.295,-2.258,
-0.452,-0.337,0.225,-0.305,-96.985,-1.648,
-0.473,-0.356,0.175,1.282,-91.919,-0.977,
-0.495,-0.374,0.119,2.197,-86.426,-0.977,
-0.52,-0.39,0.074,0.732,-80.383,-1.038,
-0.538,-0.403,0.03,-1.465,-73.792,-1.77,
-0.555,-0.402,-0.01,-4.456,-66.833,-2.441,
-0.573,-0.389,-0.042,-9.033,-59.753,-3.479,
-0.59,-0.366,-0.072,-13.062,-52.063,-4.15,
-0.605,-0.341,-0.105,-15.198,-44.189,-4.761,
-0.629,-0.298,-0.125,-17.7,-36.194,-4.944,
-0.648,-0.254,-0.119,-18.311,-27.283,-4.944,
-0.655,-0.205,-0.084,-16.479,-17.639,-4.333,
-0.656,-0.164,-0.039,-13.245,-8.972,-2.93,
-0.65,-0.132,-0.001,-9.277,-1.282,-0.854,
-0.647,-0.107,0.032,-6.104,5.554,1.404,
-0.646,-0.094,0.053,-4.028,11.597,4.211,
-0.649,-0.09,0.077,-2.869,17.395,6.836,
-0.642,-0.089,0.103,-3.052,23.071,9.338,
-0.638,-0.085,0.133,-3.54,28.442,11.963,
-0.632,-0.082,0.163,-3.845,34.119,14.771,
-0.624,-0.074,0.2,-3.296,39.551,17.151,
-0.612,-0.064,0.233,-3.235,44.434,19.836,
-0.608,-0.052,0.266,-3.662,49.072,22.461,
-0.604,-0.034,0.305,-4.639,53.284,25.208,
-0.601,-0.016,0.356,-5.371,57.312,28.137,
-0.587,0.004,0.402,-6.042,60.852,31.311,
-0.572,0.025,0.436,-7.507,63.721,34.912,
-0.561,0.048,0.468,-10.071,66.101,38.757,
-0.542,0.071,0.497,-12.268,68.665,42.725,
-0.521,0.096,0.51,-15.198,70.557,47.302,
-0.516,0.125,0.54,-17.395,72.51,52.063,
-0.503,0.147,0.594,-17.09,75.5,57.19,
-0.472,0.17,0.656,-16.113,78.064,63.171,
-0.44,0.188,0.708,-12.512,79.712,69.214,
-0.406,0.195,0.745,-8.667,80.688,75.867,
-0.374,0.184,0.772,-7.996,80.627,82.703,
-0.336,0.151,0.779,-8.179,80.017,89.722,
-0.316,0.099,0.799,-8.667,79.468,96.68,
-0.29,0.04,0.833,-8.423,79.712,102.905,
-0.243,-0.067,0.868,-4.272,80.017,108.704,
-0.214,-0.215,0.888,1.16,79.468,113.281,
-0.198,-0.365,0.928,7.08,78.918,116.272,
-0.182,-0.512,0.99,15.32,78.979,116.76,
-0.156,-0.657,1.057,21.973,77.942,115.479,
-0.134,-0.815,1.101,29.236,74.768,112.366,
-0.126,-0.98,1.15,32.166,70.496,107.422,
-0.126,-1.111,1.187,30.701,65.369,100.22,
-0.129,-1.225,1.228,24.658,59.204,90.942,
-0.135,-1.315,1.269,14.587,52.734,80.566,
-0.146,-1.369,1.306,4.028,46.021,69.214,
-0.153,-1.371,1.329,-5.554,39.063,56.885,
-0.164,-1.339,1.346,-12.939,31.86,44.556,
-0.169,-1.274,1.353,-18.982,24.475,32.837,
-0.168,-1.199,1.347,-23.254,17.456,22.644,
-0.171,-1.131,1.317,-26.611,10.498,13.672,
-0.176,-1.057,1.278,-29.419,3.784,5.981,
-0.174,-0.988,1.228,-30.884,-1.709,-0.305,
-0.17,-0.937,1.166,-31.189,-6.226,-5.188,
-0.177,-0.896,1.099,-31.067,-10.071,-8.972,
-0.173,-0.862,1.039,-30.09,-12.451,-12.634,
-0.168,-0.846,0.968,-29.48,-14.282,-15.808,
-0.177,-0.834,0.894,-29.724,-15.869,-18.616,
-0.186,-0.828,0.819,-28.564,-16.357,-21.484,
-0.191,-0.814,0.756,-27.039,-15.686,-24.658,
-0.19,-0.801,0.707,-24.231,-13.916,-27.954,
-0.184,-0.786,0.662,-21.362,-11.536,-31.067,
-0.185,-0.758,0.623,-19.47,-9.094,-34.302,
-0.181,-0.73,0.589,-17.7,-6.409,-37.415,
-0.187,-0.703,0.564,-16.907,-3.296,-39.917,
-0.196,-0.668,0.561,-15.93,0.549,-42.603,
-0.197,-0.618,0.567,-14.16,4.883,-45.227,
-0.189,-0.572,0.581,-11.78,9.155,-46.875,
-0.189,-0.545,0.589,-9.094,12.756,-48.157,
-0.2,-0.524,0.6,-7.263,15.747,-49.194,
-0.193,-0.506,0.614,-5.981,18.738,-50.049,
-0.189,-0.508,0.618,-5.188,21.484,-51.025,
-0.189,-0.534,0.61,-6.165,23.56,-51.819,
-0.193,-0.541,0.599,-8.728,25.879,-53.528,
-0.19,-0.536,0.594,-10.742,28.503,-55.847,
-0.198,-0.526,0.606,-12.695,31.372,-58.167,
-0.194,-0.502,0.628,-12.207,34.912,-60.73,
-0.19,-0.463,0.661,-9.644,38.33,-63.293,
-0.189,-0.424,0.707,-6.104,41.321,-65.247,
-0.187,-0.379,0.761,-2.869,44.067,-66.956,
-0.182,-0.333,0.809,-0.305,45.593,-68.298,
-0.177,-0.297,0.841,0,46.082,-69.031,
-0.189,-0.261,0.855,-1.465,45.532,-69.336,
-0.208,-0.225,0.874,-2.991,44.983,-69.58,
-0.216,-0.189,0.903,-3.296,45.044,-69.153,
-0.218,-0.15,0.933,-3.845,45.044,-68.237,
-0.236,-0.108,0.962,-4.639,44.373,-67.078,
-0.25,-0.066,1.007,-4.395,43.579,-65.491,
-0.266,-0.019,1.059,-2.625,42.542,-63.354,
-0.261,0.034,1.11,-0.305,40.955,-60.974,
-0.273,0.066,1.155,1.709,38.269,-57.678,
-0.285,0.097,1.196,3.479,35.156,-54.199,
-0.288,0.108,1.222,5.676,31.616,-50.049,
-0.294,0.113,1.235,6.714,27.649,-45.715,
-0.303,0.105,1.244,6.714,23.56,-41.443,
-0.318,0.095,1.249,5.005,19.592,-37.537,
-0.316,0.092,1.244,4.15,15.686,-33.569,
-0.318,0.074,1.235,3.845,11.658,-29.907,
-0.327,0.06,1.218,2.686,7.996,-26.489,
-0.326,0.052,1.204,1.587,4.761,-23.315,
-0.329,0.05,1.182,0.671,1.648,-20.264,
-0.327,0.049,1.16,0.671,-1.221,-17.517,
-0.332,0.033,1.135,1.099,-3.601,-14.16,
-0.334,0.009,1.111,2.197,-5.371,-11.047,
-0.34,-0.019,1.096,2.502,-7.019,-7.874,
-0.343,-0.042,1.094,4.028,-8.24,-5.798,
-0.329,-0.068,1.102,6.287,-9.033,-3.967,
-0.323,-0.096,1.109,7.446,-10.559,-1.831,
-0.33,-0.118,1.126,7.874,-12.39,-0.061,
-0.335,-0.131,1.168,9.644,-14.099,1.282,
-0.321,-0.138,1.225,12.634,-15.747,2.441,
-0.306,-0.15,1.267,15.747,-18.494,3.967,
-0.302,-0.183,1.307,17.822,-22.583,5.31,
-0.305,-0.225,1.347,18.86,-27.405,6.47,
-0.303,-0.27,1.405,19.714,-32.349,7.019,
-0.279,-0.32,1.451,20.752,-37.659,7.019,
-0.271,-0.364,1.465,19.775,-44.8,6.348,
-0.268,-0.393,1.474,16.785,-52.551,5.066,
-0.248,-0.418,1.463,13.245,-60.303,3.296,
-0.252,-0.436,1.419,8.484,-68.237,1.282,
-0.268,-0.449,1.369,4.272,-75.867,-0.549,
-0.27,-0.455,1.326,3.052,-81.665,-2.747,
-0.273,-0.451,1.279,3.601,-86.731,-4.822,
-0.279,-0.43,1.236,4.944,-91.187,-6.104,
-0.289,-0.407,1.211,8.301,-94.971,-7.629,
-0.277,-0.372,1.192,12.207,-98.022,-9.094,
-0.281,-0.341,1.166,15.625,-101.501,-10.193,
-0.283,-0.33,1.146,18.86,-104.98,-10.559,
-0.282,-0.319,1.116,19.836,-108.337,-10.742,
-0.288,-0.31,1.07,18.921,-112.183,-10.681,
-0.3,-0.31,1.032,17.09,-115.417,-10.681,
-0.291,-0.312,0.982,14.038,-118.164,-10.376,
-0.305,-0.308,0.9,10.437,-121.277,-10.01,
-0.322,-0.303,0.813,6.348,-123.657,-9.766,
-0.332,-0.31,0.728,2.808,-124.695,-9.277,
-0.353,-0.321,0.641,0.122,-124.634,-8.606,
-0.369,-0.322,0.563,-3.174,-123.413,-8.545,
-0.382,-0.327,0.477,-5.493,-121.521,-7.996,
-0.413,-0.332,0.396,-7.385,-118.774,-7.568,
-0.45,-0.336,0.32,-7.935,-114.746,-7.263,
-0.473,-0.326,0.26,-9.033,-110.168,-7.141,
-0.493,-0.312,0.212,-8.179,-104.37,-7.141,
-0.509,-0.302,0.172,-6.104,-98.267,-6.836,
-0.524,-0.288,0.134,-5.432,-92.102,-6.592,
-0.545,-0.273,0.094,-5.676,-85.999,-6.226,
-0.568,-0.256,0.053,-6.958,-79.651,-5.92,
-0.586,-0.242,0.013,-9.094,-73.181,-4.761,
-0.604,-0.225,-0.038,-12.329,-66.589,-3.662,
-0.618,-0.205,-0.092,-15.991,-59.814,-2.136,
-0.638,-0.193,-0.141,-19.043,-52.49,-0.305,
-0.657,-0.185,-0.166,-21.729,-44.25,2.014,
-0.659,-0.177,-0.193,-21.545,-35.461,4.089,
-0.683,-0.187,-0.184,-19.775,-26.123,6.226,
-0.682,-0.181,-0.151,-15.747,-15.686,8.057,
-0.674,-0.172,-0.104,-10.742,-6.104,9.827,
-0.666,-0.164,-0.067,-5.554,2.686,11.719,
-0.654,-0.152,-0.035,-2.441,10.498,13.733,
-0.648,-0.144,-0.011,-0.671,17.456,15.93,
-0.649,-0.138,0.016,0.549,23.621,18.066,
-0.632,-0.133,0.045,1.587,29.724,20.081,
-0.632,-0.134,0.082,1.648,35.4,22.156,
-0.624,-0.132,0.116,2.075,40.71,24.475,
-0.613,-0.134,0.151,0.366,45.532,26.672,
-0.611,-0.127,0.184,-1.709,50.232,28.809,
-0.604,-0.112,0.222,-3.174,55.054,31.25,
-0.593,-0.094,0.264,-4.272,59.998,33.875,
-0.58,-0.083,0.314,-4.7,64.636,36.804,
-0.56,-0.073,0.353,-4.761,68.359,39.978,
-0.536,-0.07,0.389,-5.005,71.899,43.518,
-0.538,-0.068,0.433,-5.798,75.012,46.875,
-0.528,-0.066,0.484,-6.104,78.064,50.293,
-0.496,-0.071,0.531,-5.798,80.811,53.711,
-0.464,-0.083,0.566,-9.033,82.397,57.373,
-0.449,-0.094,0.582,-15.991,82.825,61.096,
-0.445,-0.109,0.598,-23.315,83.069,64.209,
-0.426,-0.118,0.627,-29.297,84.045,67.078,
-0.42,-0.116,0.702,-32.715,85.754,69.58,
-0.377,-0.135,0.776,-28.015,88.257,72.144,
-0.355,-0.2,0.849,-20.996,89.539,75.5,
-0.335,-0.283,0.873,-12.817,89.111,78.43,
-0.334,-0.384,0.903,-5.554,87.891,79.956,
-0.325,-0.49,0.967,2.747,87.036,79.956,
-0.302,-0.581,1.046,9.705,85.876,78.552,
-0.285,-0.659,1.107,14.16,83.069,75.928,
-0.277,-0.741,1.145,14.648,78.064,72.632,
-0.276,-0.815,1.182,12.085,72.327,68.115,
-0.281,-0.862,1.213,8.179,66.223,62.622,
-0.285,-0.896,1.247,4.822,60.486,56.519,
-0.279,-0.922,1.274,2.441,54.871,50.476,
-0.285,-0.928,1.285,0.305,48.828,44.067,
-0.29,-0.93,1.286,-1.465,42.725,37.598,
-0.287,-0.916,1.29,-3.052,36.804,31.25,
-0.289,-0.894,1.287,-4.822,31.25,25.208,
-0.292,-0.875,1.282,-5.92,25.818,19.47,
-0.289,-0.845,1.274,-7.141,20.447,14.526,
-0.288,-0.812,1.258,-6.958,15.625,9.644,
-0.282,-0.798,1.224,-6.653,10.498,6.165,
-0.28,-0.803,1.18,-8.057,5.432,2.93,
-0.272,-0.821,1.121,-9.949,0.854,-0.183,
-0.276,-0.821,1.056,-12.756,-2.808,-3.662,
-0.281,-0.806,1.004,-15.015,-5.31,-6.836,
-0.275,-0.789,0.969,-14.832,-6.653,-10.254,
-0.268,-0.763,0.931,-14.099,-7.263,-13.428,
-0.265,-0.743,0.885,-13.062,-8.179,-16.418,
-0.264,-0.721,0.844,-12.268,-8.545,-19.226,
-0.256,-0.709,0.807,-12.207,-8.484,-21.729,
-0.259,-0.693,0.773,-12.512,-7.996,-24.231,
-0.256,-0.668,0.742,-13.855,-7.263,-26.672,
-0.259,-0.638,0.72,-15.32,-6.165,-28.87,
-0.255,-0.626,0.693,-15.32,-4.944,-30.701,
-0.256,-0.626,0.66,-15.625,-3.906,-31.921,
-0.263,-0.644,0.62,-16.052,-2.441,-33.569,
-0.267,-0.651,0.589,-15.686,-0.366,-35.828,
-0.26,-0.65,0.561,-14.526,2.38,-38.452,
-0.252,-0.653,0.536,-13.367,5.432,-41.016,
-0.25,-0.651,0.51,-14.099,8.606,-44.006,
-0.251,-0.632,0.495,-15.564,12.085,-47.302,
-0.255,-0.6,0.487,-16.174,15.869,-50.72,
-0.252,-0.564,0.493,-16.113,20.203,-53.833,
-0.254,-0.518,0.508,-15.747,24.597,-56.458,
-0.249,-0.474,0.529,-15.015,28.87,-58.655,
-0.242,-0.428,0.549,-14.282,32.288,-60.364,
-0.235,-0.401,0.56,-14.404,35.461,-61.462,
-0.239,-0.383,0.564,-15.564,38.208,-62.134,
-0.252,-0.354,0.578,-15.991,41.077,-63.293,
-0.257,-0.32,0.612,-14.282,44.678,-64.087,
-0.254,-0.287,0.664,-11.047,48.401,-64.209,
-0.25,-0.236,0.723,-8.24,51.514,-64.575,
-0.254,-0.186,0.786,-4.517,53.467,-63.965,
-0.255,-0.129,0.845,-2.075,54.504,-62.927,
-0.253,-0.078,0.893,-0.122,54.565,-61.462,
-0.259,-0.033,0.927,0.732,53.894,-59.387,
-0.269,0.007,0.952,0.183,52.49,-56.702,
-0.299,0.045,0.984,0.427,51.27,-53.528,
-0.316,0.087,1.05,2.747,51.147,-49.988,
-0.309,0.115,1.118,7.019,50.598,-45.532,
-0.299,0.133,1.17,10.193,48.584,-40.833,
-0.302,0.132,1.201,10.742,44.922,-36.011,
-0.308,0.124,1.219,9.583,40.588,-31.25,
-0.312,0.113,1.226,7.08,35.889,-27.1,
-0.32,0.1,1.226,4.822,31.86,-22.949,
-0.322,0.078,1.223,4.639,28.198,-18.677,
-0.321,0.05,1.214,4.395,24.719,-14.893,
-0.326,0.021,1.197,4.883,21.423,-11.23,
-0.33,0,1.19,5.798,18.616,-8.545,
-0.325,-0.022,1.195,6.409,16.235,-6.409,
-0.322,-0.043,1.201,6.653,13.428,-4.639,
-0.321,-0.065,1.207,7.202,10.681,-2.747,
-0.32,-0.091,1.209,8.545,7.874,-1.16,
-0.322,-0.109,1.212,8.606,4.761,0.122,
-0.321,-0.121,1.225,8.911,1.953,1.038,
-0.32,-0.13,1.245,10.01,-0.977,1.77,
-0.323,-0.136,1.272,12.573,-3.723,2.747,
-0.318,-0.138,1.312,15.747,-6.531,3.723,
-0.307,-0.142,1.336,18.86,-10.071,4.7,
