aX,aY,aZ,gX,gY,gZ,
-1.03,0.719,0.265,-335.083,-11.963,-22.583,
-0.742,-0.864,-2.867,-223.145,-0.122,-45.41,
-1.197,0.604,-0.656,-71.777,-2.197,-12.634,
-1.005,0.352,-0.667,-99.548,3.174,-5.981,
-1.011,-0.104,-0.369,-6.042,13.367,9.399,
-1.013,-0.35,-0.199,32.104,5.188,7.202,
-0.97,-0.317,-0.286,54.016,7.324,10.681,
-0.975,-0.328,-0.288,54.81,-0.183,10.071,
-0.945,-0.274,-0.348,55.054,0,11.047,
-0.939,-0.253,-0.345,46.143,-5.859,10.742,
-0.923,-0.189,-0.328,34.79,-6.226,11.292,
-0.903,-0.184,-0.333,29.297,-10.071,12.268,
-0.876,-0.159,-0.366,29.907,-11.353,14.404,
-0.885,-0.133,-0.572,43.823,-15.015,16.357,
-0.857,-0.098,-0.51,51.575,-14.343,20.142,
-0.841,-0.158,-0.654,48.645,-16.663,23.804,
-0.821,-0.391,-0.816,40.588,-15.015,25.879,
-0.817,-0.585,-0.993,28.076,-13.062,23.437,
-0.788,-0.69,-1.053,7.202,-6.592,19.104,
-0.789,-0.708,-1.084,-11.047,0.671,11.475,
-0.793,-0.65,-1.042,-22.827,9.399,3.967,
-0.797,-0.611,-1.024,-29.114,16.357,-2.258,
-0.811,-0.556,-0.984,-28.564,23.987,-7.263,
-0.828,-0.521,-0.943,-24.719,30.762,-11.414,
-0.845,-0.506,-0.867,-17.273,37.72,-14.832,
-0.857,-0.516,-0.801,-11.414,43.213,-17.944,
-0.865,-0.521,-0.727,-7.751,47.729,-20.752,
-0.881,-0.521,-0.67,-5.981,50.964,-23.437,
-0.895,-0.494,-0.61,-6.348,53.04,-26.733,
-0.903,-0.452,-0.551,-7.019,54.81,-29.907,
-0.907,-0.395,-0.477,-7.324,56.03,-32.349,
-0.905,-0.344,-0.406,-4.822,56.458,-34.241,
-0.908,-0.286,-0.336,-1.221,56.702,-35.645,
-0.91,-0.245,-0.283,1.221,55.42,-35.95,
