aX,aY,aZ,gX,gY,gZ
-0.764,0.136,-0.192,0,-29.663,-15.93
-0.757,0.167,-0.251,-1.709,-27.832,-14.038
-0.757,0.192,-0.305,-3.052,-25.391,-11.536
-0.75,0.217,-0.359,-4.456,-22.156,-9.094
-0.748,0.243,-0.418,-6.592,-18.433,-6.714
-0.754,0.268,-0.477,-8.911,-14.099,-4.517
-0.749,0.304,-0.543,-10.498,-9.155,-1.404
-0.74,0.333,-0.606,-13,-3.601,2.38
-0.741,0.356,-0.668,-14.526,3.174,6.592
-0.741,0.369,-0.735,-15.808,11.169,11.536
-0.723,0.383,-0.811,-18.311,20.203,16.296
-0.715,0.361,-0.896,-22.827,30.09,21.912
-0.668,0.352,-0.963,-30.701,40.833,26.978
-0.642,0.358,-1.045,-33.752,53.223,31.433
-0.611,0.362,-1.132,-37.72,66.406,36.133
-0.583,0.343,-1.196,-41.565,81.238,41.687
-0.57,0.322,-1.247,-45.105,97.351,46.814
-0.548,0.298,-1.266,-47.302,114.624,52.246
-0.516,0.271,-1.245,-46.753,133.545,57.861
-0.509,0.217,-1.188,-44.8,153.076,64.148
-0.516,0.109,-1.04,-42.542,173.584,70.923
-0.49,-0.037,-0.792,-40.833,195.19,76.904
-0.443,-0.182,-0.504,-32.41,215.515,81.238
0.243,-3.038,-0.661,250.244,218.384,82.153
-0.971,-2.567,4,-306.641,145.264,84.473
-1.171,-2.724,4,-515.503,42.664,50.659
-1.135,-1.696,3.428,-186.401,20.874,9.766
-1.363,-1.096,1.51,46.204,-4.395,-10.132
-1.394,-0.485,1.45,40.283,-24.353,-20.02
-1.382,-0.243,1.293,77.942,-33.386,-21.362
-1.258,-0.585,0.458,143.86,-37.476,-25.94
-1.314,-0.455,0.337,91.858,-30.64,-25.085
-1.124,-0.488,0.22,27.039,-25.024,-21.729
-1.083,-0.384,0.383,33.508,-20.996,-22.034
-1.027,-0.399,0.538,31.616,-18.066,-20.386
-0.949,-0.327,0.657,23.743,-19.043,-19.287
-0.887,-0.328,0.71,22.461,-21.423,-16.785
-0.841,-0.321,0.758,24.597,-24.719,-15.625
-0.802,-0.32,0.809,26.733,-30.396,-14.465
-0.756,-0.338,0.873,29.48,-37.231,-14.282
-0.75,-0.356,0.921,33.447,-45.227,-14.648
-0.739,-0.383,0.938,36.072,-53.467,-15.686
-0.744,-0.387,0.889,36.682,-61.279,-17.151
-0.747,-0.391,0.786,37.537,-68.42,-19.104
-0.749,-0.391,0.664,38.269,-74.402,-21.179
-0.747,-0.381,0.545,39.612,-78.857,-23.743
-0.739,-0.369,0.433,41.138,-81.787,-26.611
-0.728,-0.364,0.343,40.955,-83.557,-28.992
-0.752,-0.351,0.266,38.94,-85.083,-31.128
-0.785,-0.316,0.094,35.706,-85.938,-33.386
-0.77,-0.264,0.192,35.461,-86.304,-36.194
-0.76,-0.199,0.136,7.996,-87.769,-34.424
-0.787,-0.058,-0.081,0.549,-83.435,-35.706
-0.773,-0.021,-0.069,4.395,-82.581,-33.203
-0.786,0.048,-0.119,7.446,-80.017,-31.189
-0.766,0.053,-0.088,12.939,-75.989,-28.381
-0.777,0.071,-0.13,25.452,-73.242,-26.672
-0.776,0.061,-0.14,32.837,-69.702,-24.109
-0.783,0.061,-0.172,34.424,-67.139,-21.79
-0.795,0.078,-0.215,34.424,-63.965,-19.104
-0.801,0.087,-0.253,32.898,-60.73,-16.541
