aX,aY,aZ,gX,gY,gZ
-0.769,0.427,-0.454,59.631,5.493,-47.546
-0.776,0.495,-0.482,63.599,6.653,-46.692
-0.772,0.530,-0.508,63.416,7.568,-44.617
-0.770,0.538,-0.548,55.664,7.385,-41.565
-0.797,0.562,-0.583,44.128,7.263,-38.818
-0.802,0.607,-0.612,31.860,7.629,-35.767
-0.826,0.652,-0.568,17.822,8.179,-32.471
-0.834,0.673,-0.572,3.662,8.606,-28.687
-0.818,0.576,-0.611,-5.005,10.559,-25.391
-0.812,0.513,-0.575,-0.488,12.573,-23.437
-0.803,0.516,-0.508,2.808,14.404,-21.667
-0.798,0.513,-0.487,6.409,16.785,-20.081
-0.798,0.509,-0.474,14.648,18.372,-18.677
-0.797,0.508,-0.439,21.973,20.386,-17.334
-0.760,0.521,-0.300,26.123,22.400,-16.052
-0.784,0.501,-0.205,25.452,21.301,-14.526
-0.790,0.487,-0.151,24.536,19.226,-14.282
-0.795,0.486,-0.134,23.376,16.357,-14.771
-0.805,0.507,-0.115,17.334,11.902,-15.686
-0.822,0.526,-0.077,9.155,6.592,-15.930
-0.820,0.546,-0.010,-3.357,0.916,-15.503
-0.808,0.540,-0.013,-26.245,-7.385,-14.221
-0.817,0.510,0.000,-59.631,-17.456,-12.329
-0.795,0.445,-0.037,-83.862,-25.635,-11.780
-0.785,0.483,-0.040,-107.788,-33.142,-12.878
-0.790,0.510,-0.211,-121.826,-39.734,-13.428
-0.787,0.469,-0.459,-121.155,-44.617,-13.245
-0.762,0.525,-0.598,-110.596,-41.992,-14.160
-0.744,0.591,-0.690,-100.586,-37.781,-14.465
-0.755,0.531,-0.795,-86.609,-32.532,-12.573
-0.772,0.475,-0.748,-71.716,-25.146,-10.864
-0.794,0.492,-0.620,-64.941,-18.799,-10.864
-0.801,0.451,-0.560,-53.589,-14.832,-10.620
-0.760,0.399,-0.441,-45.227,-12.390,-9.827
-0.731,0.309,-0.420,-54.382,-13.123,-9.521
-0.739,0.235,-0.434,-67.322,-15.808,-10.864
-0.769,0.239,-0.495,-79.895,-17.883,-14.832
-0.744,0.317,-0.532,-87.219,-18.555,-19.409
-0.706,0.371,-0.628,-81.665,-18.433,-22.278
-0.670,0.391,-0.712,-76.416,-17.456,-23.499
-0.652,0.385,-0.772,-77.698,-16.174,-23.682
-0.693,0.359,-0.788,-85.815,-13.611,-23.560
-0.769,0.320,-0.733,-91.553,-11.047,-23.621
-0.779,0.289,-0.797,-70.190,-6.531,-24.963
-0.721,0.172,-0.833,-47.241,-0.122,-27.893
-0.712,0.073,-0.818,-42.908,5.249,-31.555
-0.678,0.109,-0.823,-47.180,9.399,-37.476
-0.654,0.201,-0.846,-62.073,12.268,-42.358
-0.688,0.332,-0.846,-75.806,16.235,-46.448
-0.712,0.461,-0.799,-86.792,20.630,-48.340
-0.721,0.575,-0.779,-91.187,24.048,-48.157
-0.744,0.667,-0.705,-95.337,27.100,-44.861
-0.735,0.697,-0.703,-98.206,29.602,-41.077
-0.724,0.671,-0.677,-98.572,32.410,-36.560
-0.724,0.585,-0.662,-94.238,35.522,-32.654
-0.732,0.501,-0.652,-81.116,38.513,-30.334
-0.705,0.364,-0.616,-67.688,41.443,-29.297
-0.742,0.398,-0.500,-58.838,42.480,-30.090
-0.721,0.320,-0.467,-13.611,45.837,-33.142
-0.709,0.309,-0.434,15.137,46.326,-35.522
-0.711,0.337,-0.391,28.503,45.593,-38.269
-0.704,0.321,-0.402,53.833,45.593,-40.649
-0.698,0.353,-0.406,75.989,45.166,-43.213
-0.699,0.385,-0.427,87.952,45.410,-45.166
-0.714,0.436,-0.414,96.741,45.593,-45.105
-0.721,0.479,-0.412,104.614,46.814,-44.983
-0.710,0.479,-0.399,118.835,48.889,-44.434
-0.715,0.476,-0.399,125.610,49.988,-43.213
-0.702,0.489,-0.401,133.606,50.537,-42.725
-0.720,0.533,-0.394,135.498,49.988,-41.748
-0.736,0.622,-0.342,129.578,49.011,-39.795
-0.740,0.715,-0.259,124.939,48.218,-36.682
-0.751,0.777,-0.193,122.986,46.265,-32.288
-0.763,0.777,-0.159,120.056,43.152,-27.100
-0.759,0.704,-0.154,115.906,40.283,-22.827
-0.739,0.552,-0.201,113.953,37.781,-19.958
-0.715,0.417,-0.289,112.915,35.339,-19.592
-0.695,0.311,-0.363,107.422,34.180,-21.484
-0.674,0.284,-0.394,101.013,33.936,-24.841
-0.668,0.303,-0.401,96.802,34.180,-28.564
-0.690,0.422,-0.327,94.055,34.485,-31.616
-0.737,0.640,-0.207,90.454,34.058,-33.081
-0.778,0.827,-0.065,83.191,33.447,-31.372
-0.805,0.919,0.031,86.365,32.532,-28.748
-0.787,0.879,0.069,99.060,31.128,-24.719
-0.752,0.701,0.041,112.183,29.663,-20.508
-0.712,0.506,-0.029,123.962,27.832,-18.677
-0.673,0.370,-0.054,122.437,25.696,-19.287
-0.670,0.305,-0.085,110.718,23.010,-21.179
-0.652,0.308,-0.091,99.426,20.691,-25.269
-0.694,0.407,-0.069,97.168,18.677,-30.151
-0.686,0.527,-0.063,106.873,18.250,-34.241
-0.720,0.581,-0.075,115.417,18.433,-36.194
-0.729,0.596,-0.147,131.470,21.057,-37.842
-0.729,0.590,-0.212,151.733,25.818,-39.124
-0.726,0.564,-0.247,172.180,32.288,-39.917
-0.684,0.545,-0.318,194.336,40.039,-40.588
-0.636,0.614,-0.261,199.341,47.302,-41.138
-0.645,0.699,-0.090,187.988,51.270,-39.490
-0.695,0.766,0.136,172.058,51.392,-36.011
-0.746,0.817,0.364,158.264,48.706,-32.166
-0.734,0.750,0.416,165.344,45.715,-29.663
-0.707,0.653,0.376,176.270,41.382,-28.198
-0.657,0.610,0.294,168.884,37.292,-27.893
