aX,aY,aZ,gX,gY,gZ,,,,
-0.801,-0.722,0.821,-60.486,-53.467,-10.01,,,,
-0.789,-0.762,0.722,-30.457,-56.885,-13.733,,,,
-0.751,-0.695,0.677,-9.033,-57.617,-21.423,,,,
-0.807,-0.632,0.678,4.578,-56.702,-26.794,,,,
-0.786,-0.637,0.74,3.54,-55.664,-29.724,,,,
-0.726,-0.573,0.818,-8.911,-55.42,-32.41,,,,
-0.744,-0.405,0.856,-17.517,-59.082,-34.607,,,,
-0.766,-0.26,0.807,3.662,-62.866,-34.241,,,,
-0.751,-0.206,0.763,37.537,-65.491,-32.166,,,,
-0.835,-0.243,0.726,56.274,-68.909,-28.992,,,,
-0.889,-0.241,0.685,65.308,-72.815,-27.954,,,,
-0.916,-0.254,0.689,67.871,-76.233,-27.71,,,,
-0.92,-0.177,0.672,63.965,-79.712,-26.917,,,,
-0.928,-0.198,0.589,61.584,-85.693,-25.33,,,,
-0.979,-0.15,0.485,61.401,-90.576,-23.743,,,,
-1,-0.198,0.318,81.787,-92.468,-21.606,,,,
-1.139,-0.099,0.14,104.98,-92.224,-23.132,,,,
-1.243,-0.049,-0.066,131.897,-89.294,-23.254,,,,
-1.129,-0.173,-0.158,156.494,-78.491,-21.545,,,,
-1.111,-0.245,-0.257,138.916,-70.313,-20.935,,,,
-1.125,-0.342,-0.342,122.559,-60.669,-23.437,,,,
-1.084,-0.352,-0.306,91.003,-49.316,-25.757,,,,
-0.992,-0.405,-0.265,57.373,-39.612,-26.917,,,,
-0.931,-0.439,-0.231,27.649,-31.372,-28.564,,,,
-0.873,-0.449,-0.227,9.766,-23.865,-30.945,,,,
-0.838,-0.342,-0.229,2.93,-16.541,-35.278,,,,
-0.817,-0.187,-0.224,4.822,-10.01,-37.842,,,,
-0.78,-0.097,-0.16,10.498,-3.906,-36.865,,,,
-0.758,-0.144,-0.096,14.282,2.502,-31.86,,,,
-0.755,-0.184,0.009,9.827,8.179,-29.175,,,,
-0.682,-0.237,0.2,-8.118,11.719,-26.001,,,,
-0.602,-0.214,0.366,-30.029,11.414,-24.719,,,,
-0.568,-0.166,0.469,-42.725,6.165,-23.804,,,,
-0.54,-0.144,0.532,-48.584,-0.549,-21.545,,,,
-0.546,-0.053,0.45,-46.753,-9.155,-20.63,,,,
-0.538,0.039,0.341,-39.612,-17.029,-19.226,,,,
-0.587,0.153,0.173,-21.667,-22.888,-17.212,,,,
-0.608,0.182,0.079,1.709,-24.353,-12.939,,,,
-0.601,0.157,0.008,20.081,-23.682,-8.301,,,,
-0.61,0.129,-0.046,34.424,-23.437,-4.7,,,,
-0.614,0.062,-0.095,42.542,-22.461,-0.854,,,,
-0.619,-0.02,-0.157,42.48,-20.508,3.357,,,,
-0.636,-0.104,-0.231,36.194,-18.25,6.287,,,,
-0.634,-0.169,-0.288,22.522,-14.587,7.385,,,,
-0.645,-0.212,-0.329,8.484,-9.583,7.935,,,,
-0.669,-0.226,-0.35,-2.197,-3.54,7.812,,,,
-0.715,0.094,-0.41,3.052,4.944,6.042,,,,
-0.66,-0.273,-0.334,9.583,12.939,11.108,,,,
-0.675,0.022,-0.308,-2.808,19.714,9.583,,,,
-0.59,-0.04,-0.338,-5.981,26.184,8.911,,,,
-0.553,0.161,-0.277,-20.691,30.945,9.888,,,,
-0.524,0.199,-0.37,-28.87,34.485,13.123,,,,
-0.497,0.308,-0.427,-33.508,39.368,16.968,,,,
-0.464,0.373,-0.414,-64.819,45.41,24.475,,,,
-0.52,0.406,-0.397,-95.764,51.941,31.616,,,,
-0.526,0.563,-0.313,-114.99,58.228,39.978,,,,
-0.458,0.454,-0.272,-74.158,70.801,49.866,,,,
-0.506,0.595,-0.533,-66.101,72.449,56.396,,,,
-0.499,0.483,-0.724,-53.223,81.787,67.871,,,,
-0.478,0.699,-1.122,-73.12,91.003,73.792,,,,
-0.372,0.78,-1.532,-68.909,106.445,84.656,,,,
-0.282,0.783,-1.812,-71.716,128.845,97.839,,,,
-0.118,0.633,-2.159,-56.396,158.081,113.342,,,,
0.038,0.463,-2.401,-35.767,194.885,125.122,,,,
0.321,0.1,-2.554,-14.771,236.45,136.963,,,,
0.665,-0.11,-2.517,-35.4,278.32,143.311,,,,
1.05,-0.266,-2.384,-90.088,318.176,144.043,,,,
1.441,-0.354,-2.079,-148.071,356.506,138.489,,,,
1.831,-0.316,-1.557,-190.43,394.714,127.258,,,,
2.114,-0.114,-0.936,-206.421,426.819,111.328,,,,
2.229,0.109,-0.242,-202.881,451.294,97.961,,,,
2.286,0.439,0.71,-200.378,469.177,87.83,,,,
2.224,0.759,1.776,-174.194,480.042,83.13,,,,
2.098,0.89,2.856,-119.446,476.074,89.111,,,,
1.812,0.709,3.529,-54.932,454.712,103.394,,,,
1.498,0.201,3.931,-5.493,416.992,120.178,,,,
1.344,-0.332,3.569,-2.319,376.953,131.653,,,,
1.239,-0.624,2.744,-32.288,345.337,134.216,,,,
1.196,-0.449,1.97,-47.18,315.186,128.967,,,,
1.265,-0.443,3.328,-49.011,287.231,121.643,,,,
0.956,-0.915,4,-8.057,240.723,105.835,,,,
0.792,-1.474,4,17.944,208.984,97.229,,,,
0.704,-1.746,4,16.296,170.288,83.923,,,,
0.487,-1.76,4,13.306,114.319,61.218,,,,
0.393,-1.674,4,2.197,62.378,35.889,,,,
0.374,-1.506,4,-10.742,13.977,13.489,,,,
0.345,-1.359,4,-23.865,-34.485,-6.165,,,,
0.335,-1.24,3.77,-37.659,-75.012,-21.24,,,,
0.359,-1.1,3.169,-46.936,-103.333,-32.654,,,,
0.337,-0.956,2.571,-47.791,-124.695,-40.527,,,,
0.292,-0.815,2.014,-39.368,-136.169,-46.204,,,,
0.245,-0.711,1.603,-27.344,-137.939,-49.744,,,,
0.176,-0.597,1.331,-13.245,-136.597,-52.856,,,,
0.11,-0.481,1.22,-2.808,-132.751,-54.016,,,,
0.068,-0.403,1.196,4.639,-127.563,-52.307,,,,
0.039,-0.395,1.181,11.597,-123.413,-48.401,,,,
0.045,-0.413,1.189,17.517,-119.629,-45.288,,,,
0.023,-0.492,1.161,23.132,-116.943,-41.687,,,,
0,-0.553,1.132,31.006,-114.685,-39.978,,,,
-0.009,-0.605,1.149,40.527,-111.511,-40.222,,,,
-0.026,-0.624,1.192,51.88,-108.521,-42.175,,,,
-0.039,-0.593,1.258,63.904,-105.774,-45.532,,,,
-0.086,-0.477,1.348,79.041,-103.76,-49.316,,,,
-0.076,-0.386,1.524,99.731,-100.769,-51.392,,,,
-0.023,-0.362,1.717,122.192,-99.548,-50.903,,,,
0.07,-0.469,1.829,149.109,-104.37,-49.866,,,,
0.161,-0.715,1.924,165.894,-113.403,-50.659,,,,
0.232,-0.94,1.96,158.142,-128.723,-54.321,,,,
0.314,-1.17,2,142.395,-143.494,-62.683,,,,
0.373,-1.238,2.029,112.915,-157.471,-74.158,,,,
0.415,-1.243,2.028,75.928,-171.753,-86.487,,,,
0.453,-1.109,1.984,49.622,-187.256,-99.304,,,,
0.519,-0.967,1.956,30.212,-200.989,-110.046,,,,
0.524,-0.77,1.848,27.954,-216.003,-119.873,,,,
0.633,-0.63,1.582,45.349,-231.201,-128.662,,,,
0.743,-0.477,1.35,54.81,-243.652,-136.047,,,,
0.476,-0.358,1.1,51.575,-253.662,-142.334,,,,
0.759,-0.343,0.853,60.791,-260.01,-145.752,,,,
0.703,-0.126,0.781,52.063,-258.728,-150.818,,,,
0.658,0.015,0.604,48.95,-261.719,-151.917,,,,
0.663,0.233,0.498,43.335,-262.39,-151.55,,,,
0.54,0.327,0.346,43.091,-262.817,-146.118,,,,
0.522,0.429,0.094,42.236,-262.878,-140.442,,,,
0.423,0.584,-0.168,30.884,-261.841,-133.545,,,,
0.28,0.7,-0.471,24.658,-257.385,-124.268,,,,
0.187,0.827,-0.832,25.085,-249.207,-112.61,,,,
0.043,0.954,-1.203,20.752,-236.572,-99.609,,,,
-0.229,1.037,-1.638,13.123,-219.36,-84.29,,,,
-0.436,1.179,-2.234,6.47,-196.045,-67.078,,,,
-0.63,1.371,-2.844,-8.85,-162.72,-47.119,,,,
-0.826,1.645,-3.408,-27.954,-121.765,-24.414,,,,
-0.897,1.647,-3.33,-33.264,-78.613,-0.366,,,,
-0.861,1.029,-2.3,-5.615,-48.035,17.639,,,,
-0.715,0.225,-1.155,46.692,-25.818,28.503,,,,
