aX,aY,aZ,gX,gY,gZ
0.889,0.342,-0.116,0.122,-0.427,2.256
0.885,0.343,-0.117,0,-0.305,2.134
0.891,0.341,-0.12,0,-0.366,1.768
0.891,0.342,-0.121,0,-0.366,1.585
0.888,0.341,-0.113,-0.122,-0.366,1.341
0.893,0.342,-0.115,0.122,-0.427,1.159
0.894,0.336,-0.117,0.122,-0.488,0.793
0.897,0.342,-0.116,0.122,-0.488,0.305
0.907,0.336,-0.109,0.366,-0.488,-0.061
0.918,0.333,-0.113,0.305,-0.61,-0.183
0.917,0.333,-0.123,0.488,-0.488,-0.366
0.927,0.333,-0.123,0.427,-0.366,-0.61
0.927,0.333,-0.119,0.671,-0.183,-0.976
0.934,0.333,-0.121,0.915,0,-0.976
0.942,0.333,-0.122,0.793,0.305,-1.037
0.944,0.331,-0.124,0.671,0.61,-0.976
0.952,0.329,-0.124,0.793,0.488,-0.854
0.956,0.328,-0.127,1.22,0.366,-0.915
0.958,0.329,-0.123,1.098,0.183,-0.732
0.958,0.329,-0.119,1.341,0.122,-0.61
0.962,0.332,-0.121,1.463,0.305,-0.488
0.955,0.334,-0.121,1.28,0.244,-0.183
0.953,0.333,-0.115,1.402,0.061,0.183
0.955,0.335,-0.116,1.341,0.183,0.366
0.947,0.331,-0.107,1.646,0.061,0.549
0.94,0.337,-0.108,1.707,0,0.976
0.932,0.339,-0.112,1.646,0.244,1.28
0.928,0.338,-0.112,1.707,-0.122,1.524
0.921,0.335,-0.113,1.707,-0.305,1.646
0.918,0.344,-0.113,1.707,-0.549,1.768
0.91,0.34,-0.116,1.585,-0.732,1.829
0.903,0.336,-0.116,1.585,-0.854,2.073
0.899,0.34,-0.114,1.707,-1.037,1.951
0.896,0.345,-0.115,1.524,-1.098,1.951
0.894,0.34,-0.112,1.341,-1.037,1.89
0.892,0.344,-0.114,1.22,-0.976,1.768
0.891,0.343,-0.114,1.037,-0.976,1.585
0.891,0.343,-0.116,1.159,-1.037,1.463
0.891,0.341,-0.115,1.28,-0.976,1.341
0.894,0.338,-0.116,1.22,-0.732,1.159
0.897,0.336,-0.12,0.976,-0.549,0.915
0.905,0.341,-0.113,1.037,-0.427,0.915
0.906,0.339,-0.121,1.159,-0.427,0.793
0.915,0.334,-0.13,0.732,-0.122,0.488
0.914,0.333,-0.125,0.793,0,0.183
0.925,0.336,-0.125,1.098,-0.122,0.244
0.926,0.338,-0.124,1.037,0.183,0.366
0.933,0.33,-0.129,0.976,0.183,0.244
0.934,0.332,-0.125,1.098,-0.122,0.244
0.927,0.333,-0.125,1.28,-0.061,0.244
0.932,0.334,-0.128,1.22,0,0.366
0.935,0.333,-0.13,1.524,-0.122,0.549
0.937,0.333,-0.133,1.524,-0.183,0.61
0.941,0.332,-0.134,1.524,0.061,0.732
0.943,0.33,-0.126,1.585,-0.061,1.037
0.937,0.329,-0.124,1.463,0,0.976
0.936,0.332,-0.124,1.22,0,1.159
0.933,0.332,-0.126,1.463,-0.061,1.22
0.933,0.321,-0.124,1.037,0.061,1.341
0.935,0.323,-0.12,0.915,0.366,1.28
0.928,0.326,-0.119,1.037,0.305,1.463
0.922,0.326,-0.12,0.854,-0.122,1.646
0.917,0.329,-0.124,0.793,-0.061,1.768
0.915,0.332,-0.122,0.488,0.183,1.646
0.914,0.328,-0.118,0.366,0.732,1.524
0.912,0.331,-0.123,0.366,0.976,1.463
0.907,0.328,-0.125,0.122,0.793,1.22
0.906,0.329,-0.121,-0.366,0.305,1.22
0.909,0.328,-0.132,-0.488,0.183,1.402
0.91,0.33,-0.133,-0.427,0.61,1.28
0.913,0.328,-0.13,-0.549,1.098,1.159
0.91,0.33,-0.133,-0.793,1.341,1.037
0.912,0.332,-0.135,-1.037,1.341,0.976
0.912,0.328,-0.138,-1.22,1.159,0.915
