aX,aY,aZ,gX,gY,gZ
-0.152,-0.349,0.461,-17.883,-14.771,-15.320
-0.168,-0.225,0.629,-16.846,-3.296,-17.212
-0.174,-0.099,0.778,-15.686,5.432,-15.747
-0.173,-0.037,0.795,-13.489,8.606,-13.977
-0.179,0.057,0.890,-5.432,10.620,-7.507
-0.172,0.070,1.018,5.005,9.338,1.526
-0.163,-0.007,1.089,10.071,8.118,6.836
-0.148,-0.083,1.138,11.230,3.296,15.198
-0.124,-0.266,1.179,9.827,-0.183,17.456
-0.120,-0.342,1.186,7.568,-6.714,17.578
-0.112,-0.442,1.144,6.348,-10.132,16.174
-0.123,-0.487,1.099,9.827,-15.076,11.841
-0.133,-0.506,1.097,13.611,-16.541,9.583
-0.130,-0.601,1.073,18.677,-18.616,4.578
-0.134,-0.614,1.050,16.479,-20.569,0.610
-0.138,-0.580,0.955,3.479,-25.330,-6.897
-0.149,-0.537,0.909,-3.479,-26.489,-13.062
-0.151,-0.421,0.814,-11.475,-26.978,-15.259
-0.172,-0.309,0.775,-13.245,-23.499,-17.090
0.543,1.618,1.572,-87.769,177.734,87.402
-0.546,2.660,-1.656,375.916,155.701,22.766
0.299,0.562,0.040,-49.438,184.570,76.172
0.579,-1.929,3.535,-14.709,156.311,55.664
0.421,-1.641,4.000,8.789,66.711,16.052
0.100,-0.774,1.623,-13.550,32.776,5.493
0.046,-0.415,1.117,1.282,5.066,-2.380
0.109,-0.616,2.423,25.574,-14.038,-7.751
0.053,-0.711,1.874,20.630,-43.091,-9.338
0.025,-0.684,1.452,7.629,-52.063,-10.925
-0.058,-0.545,0.816,-15.259,-57.556,-14.465
-0.075,-0.501,0.623,-23.926,-48.218,-16.357
-0.124,-0.469,0.465,-28.809,-41.809,-18.005
-0.151,-0.390,0.390,-28.076,-26.367,-22.278
-0.168,-0.332,0.399,-21.057,-9.338,-25.513
-0.173,-0.244,0.619,-19.653,-2.258,-25.879
-0.184,-0.094,0.849,-22.949,5.310,-24.536
-0.188,-0.010,0.896,-24.841,7.996,-18.982
-0.195,0.124,0.922,-17.578,7.996,-14.221
-0.181,0.114,0.999,-3.296,6.409,-3.418
-0.164,0.079,1.037,5.493,5.066,2.563
-0.127,-0.045,1.081,24.048,1.709,13.489
-0.115,-0.114,1.050,31.372,-0.854,18.005
-0.116,-0.337,0.953,34.546,-5.493,24.292
-0.110,-0.455,0.940,32.776,-5.432,24.902
-0.090,-0.584,0.933,20.630,-4.944,20.386
-0.091,-0.635,0.939,13.611,-5.066,17.212
-0.072,-0.739,0.971,6.226,-5.859,9.216
-0.062,-0.767,1.014,0.732,-6.592,-1.831
-0.052,-0.659,1.029,-4.456,-8.911,-7.507
-0.089,-0.382,0.986,-19.592,-15.808,-16.174
-0.101,-0.231,0.928,-26.367,-18.921,-16.479
-0.156,-0.031,0.769,-23.193,-21.606,-13.672
-0.177,-0.017,0.688,-8.301,-15.747,-5.127
-0.348,3.586,0.320,-346.497,30.457,15.564
-0.171,1.395,-1.633,124.756,198.608,62.134
1.067,-1.332,3.433,118.835,259.094,59.265
0.865,-1.615,4.000,72.937,211.426,41.504
0.597,-1.450,4.000,22.034,85.632,7.507
0.178,-0.723,1.826,15.076,52.979,-1.770
0.250,-0.354,1.880,-11.780,33.752,-3.723
0.275,-0.738,3.247,48.340,-32.043,-14.709
0.177,-0.637,2.001,30.579,-75.317,-18.433
0.131,-0.497,1.410,14.282,-87.219,-20.325
0.023,-0.304,0.540,-14.893,-89.355,-18.616
-0.025,-0.318,0.238,-23.315,-81.909,-15.930
-0.046,-0.370,0.042,-35.278,-55.725,-13.550
-0.077,-0.299,0.055,-31.067,-24.963,-17.212
-0.082,-0.249,0.144,-27.588,-12.573,-18.433
-0.092,-0.157,0.390,-15.991,6.348,-19.043
-0.100,-0.087,0.578,-8.850,20.508,-17.273
-0.096,-0.024,0.623,-8.301,26.123,-15.808
-0.088,0.027,0.734,-1.648,32.715,-10.559
-0.079,0.001,0.843,1.648,34.973,-4.211
-0.045,-0.066,1.073,4.639,34.790,-1.587
-0.030,-0.090,1.174,5.188,27.649,2.380
-0.019,-0.126,1.288,2.991,22.156,4.211
-0.004,-0.145,1.295,-0.122,11.414,8.057
-0.019,-0.166,1.268,1.404,6.470,9.521
-0.020,-0.196,1.231,8.972,-0.427,11.780
-0.022,-0.280,1.177,11.292,-2.869,12.024
-0.028,-0.339,1.085,12.756,-6.836,11.169
-0.020,-0.357,1.045,11.047,-7.874,10.010
-0.024,-0.341,0.961,3.967,-9.338,7.202
-0.025,-0.316,0.937,-2.563,-9.766,6.348
-0.041,-0.246,0.878,-7.385,-8.362,6.287
-0.054,-0.217,0.887,-2.563,-4.272,8.057
-0.043,-0.187,0.902,-0.610,-2.625,9.399
-0.048,-0.172,0.923,5.615,-1.038,12.146
-0.036,-0.198,0.943,9.827,0.000,14.038
0.002,-0.286,0.991,12.024,1.709,16.724
0.019,-0.322,1.011,9.277,1.465,17.273
0.026,-0.345,1.062,2.869,-0.854,17.029
0.033,-0.412,1.063,-1.587,-2.380,16.479
0.040,-0.420,1.042,-7.996,-5.432,13.245
0.030,-0.397,1.030,-8.850,-7.080,11.597
0.029,-0.361,1.032,-5.127,-7.385,9.460
0.022,-0.330,1.021,-1.892,-7.935,8.667
0.014,-0.280,1.007,6.042,-9.521,8.179
0.026,-0.264,0.984,5.554,-10.437,8.850
0.000,-0.209,0.938,5.127,-12.878,10.498
0.005,-0.178,0.896,11.841,-13.977,13.306
0.010,-0.164,0.803,14.404,-13.733,15.137
0.044,-0.221,0.748,25.330,-10.315,18.921
0.059,-0.268,0.742,32.349,-7.812,20.081
0.093,-0.361,0.764,36.560,-3.601,19.775
0.107,-0.397,0.787,33.264,-2.014,18.860
0.090,-0.397,0.820,11.902,-1.404,15.991
0.073,-0.390,0.842,5.188,-1.221,14.771
0.054,-0.385,0.859,-1.160,0.427,12.817
0.050,-0.387,0.852,-2.625,2.014,11.108
0.037,-0.422,0.877,-2.136,3.540,10.376
0.040,-0.417,0.897,-4.333,4.761,7.507
0.032,-0.395,0.921,-3.601,5.188,5.798
0.015,-0.355,0.975,-5.188,5.066,4.517
0.014,-0.343,0.999,-7.019,4.211,4.333
0.023,-0.353,1.000,-9.949,0.305,4.456
0.022,-0.366,1.004,-11.108,-1.587,4.150
0.021,-0.393,1.014,-11.963,-4.150,3.967
0.025,-0.393,1.000,-7.141,-7.812,2.319
-0.001,-0.321,0.958,-2.014,-9.216,2.014
-0.033,-0.239,0.914,6.775,-9.827,3.723
-0.035,-0.219,0.875,9.583,-9.521,5.859
-0.032,-0.245,0.776,12.451,-8.301,11.353
-0.031,-0.281,0.735,14.404,-6.165,13.489
-0.028,-0.385,0.705,16.541,1.099,16.846
-0.026,-0.441,0.718,15.137,5.371,17.029
-0.016,-0.518,0.761,5.676,11.963,15.198
-0.018,-0.525,0.810,2.930,14.893,12.695
-0.001,-0.561,0.965,0.183,20.508,8.545
0.005,-0.555,1.032,0.366,21.301,5.920
0.000,-0.501,1.145,-2.563,18.005,0.793
-0.003,-0.460,1.179,-4.211,15.137,-1.221
-0.015,-0.364,1.176,-5.798,7.874,-3.052
-0.017,-0.335,1.148,-4.822,1.221,-1.709
-0.026,-0.310,1.096,-3.235,-1.221,-0.366
-0.017,-0.338,1.055,2.808,-4.395,2.136
-0.011,-0.363,1.043,5.920,-5.493,2.991
-0.003,-0.422,0.993,8.118,-8.911,3.296
0.001,-0.436,0.966,7.629,-10.986,1.038
0.005,-0.418,0.896,7.141,-11.475,0.000
-0.004,-0.408,0.875,4.883,-10.498,-1.587
-0.000,-0.390,0.861,2.930,-9.460,-2.258
-0.000,-0.356,0.869,2.319,-7.935,-3.174
-0.002,-0.341,0.869,2.319,-7.263,-3.479
0.010,-0.322,0.850,0.061,-6.958,-3.540
-0.003,-0.302,0.835,-2.502,-6.470,-3.540
0.001,-0.286,0.831,-4.883,-5.005,-3.052
0.006,-0.271,0.826,-6.409,-4.028,-2.258
0.005,-0.268,0.840,-6.531,-3.357,-1.648
0.000,-0.270,0.841,-3.723,-2.319,-0.366
0.002,-0.295,0.866,-0.488,-0.977,0.122
0.006,-0.321,0.883,3.723,0.366,0.427
0.002,-0.319,0.877,4.395,0.061,0.183
-0.015,-0.311,0.873,0.916,0.793,0.366
-0.026,-0.293,0.871,-0.427,1.831,0.549
-0.037,-0.308,0.940,2.747,5.737,2.808
-0.021,-0.369,1.010,5.310,8.057,4.395
0.020,-0.499,1.104,4.761,7.019,4.150
0.038,-0.533,1.133,2.258,4.150,2.075
0.055,-0.554,1.139,-3.418,-2.441,-3.113
0.059,-0.543,1.111,-5.676,-5.981,-5.615
0.038,-0.484,1.013,-8.118,-11.658,-10.437
0.026,-0.443,0.955,-9.033,-13.489,-12.512
0.001,-0.352,0.858,-9.094,-14.343,-14.832
-0.005,-0.312,0.819,-8.484,-12.085,-14.771
-0.021,-0.257,0.781,-8.240,-10.437,-14.038
-0.028,-0.210,0.773,-7.446,-6.836,-11.902
-0.027,-0.217,0.806,-4.883,-2.808,-8.362
-0.026,-0.242,0.851,-5.432,-1.831,-7.019
-0.033,-0.246,0.901,-3.723,-1.038,-5.615
-0.035,-0.258,0.933,-2.014,-1.099,-3.540
-0.032,-0.289,0.936,-2.197,-1.831,-2.441
-0.029,-0.321,0.950,-3.235,-3.113,-1.404
-0.062,-0.288,0.928,-4.517,-4.883,-1.282
-0.041,-0.267,0.915,-4.395,-5.615,-0.854
-0.053,-0.248,0.905,-3.540,-6.226,1.282
-0.052,-0.242,0.893,-1.526,-5.920,3.601
-0.059,-0.252,0.892,-0.977,-5.981,4.700
-0.053,-0.269,0.884,1.526,-5.737,6.714
-0.075,-0.291,0.891,2.014,-5.188,7.629
-0.071,-0.317,0.876,1.343,-5.127,8.484
-0.079,-0.333,0.866,0.061,-4.822,8.545
-0.089,-0.317,0.859,-0.977,-3.418,8.179
-0.098,-0.305,0.869,-0.366,-2.380,8.667
-0.101,-0.300,0.940,3.052,0.427,9.460
-0.094,-0.322,0.981,7.446,0.793,11.169
-0.065,-0.436,1.040,8.240,-0.427,11.475
-0.055,-0.520,1.057,4.761,-4.883,8.667
-0.045,-0.550,1.051,2.319,-6.836,6.409
-0.052,-0.532,1.012,-1.526,-10.193,1.038
-0.063,-0.506,0.978,-2.869,-11.658,-1.282
-0.086,-0.457,0.901,-5.737,-12.512,-4.883
-0.095,-0.435,0.863,-5.432,-10.742,-6.226
-0.110,-0.433,0.845,-3.906,-8.484,-6.470
-0.106,-0.463,0.907,-1.831,-3.601,-7.629
-0.102,-0.477,0.979,-5.188,-2.075,-10.376
-0.091,-0.455,1.023,-6.653,-1.892,-12.268
-0.074,-0.399,1.071,-8.972,-4.211,-14.954
-0.061,-0.325,1.087,-8.728,-7.385,-16.663
-0.053,-0.304,1.084,-7.690,-9.338,-16.418
-0.045,-0.260,1.060,-6.653,-12.939,-15.625
-0.055,-0.190,0.998,-4.883,-16.663,-14.343
-0.056,-0.166,0.964,-3.540,-17.395,-13.000
-0.088,-0.151,0.896,-3.174,-18.005,-8.911
-0.092,-0.191,0.849,-2.625,-16.724,-5.493
-0.095,-0.235,0.833,-2.136,-15.442,-3.967
-0.102,-0.314,0.814,-2.136,-12.512,-2.625
-0.114,-0.369,0.822,-1.038,-9.399,-4.150
-0.124,-0.375,0.824,-1.648,-8.362,-5.310
-0.148,-0.331,0.818,-4.089,-6.531,-7.629
-0.174,-0.298,0.867,-8.972,-3.784,-8.484
-0.165,-0.292,0.896,-9.644,-2.197,-8.484
-0.152,-0.300,1.013,-8.545,-0.122,-8.423
-0.143,-0.285,1.060,-4.395,-2.686,-9.216
-0.135,-0.292,1.067,-1.831,-4.578,-9.399
-0.118,-0.302,1.096,3.418,-7.385,-9.644
-0.128,-0.284,1.110,6.409,-9.949,-10.132
-0.119,-0.275,1.101,6.836,-12.085,-9.827
-0.107,-0.301,1.033,9.949,-16.296,-9.033
-0.106,-0.313,1.010,10.071,-17.395,-8.728
-0.100,-0.345,0.959,7.751,-18.677,-8.972
-0.097,-0.355,0.942,6.104,-18.982,-10.193
-0.105,-0.348,0.941,1.587,-18.677,-10.864
-0.101,-0.343,0.957,-1.892,-18.677,-11.597
-0.101,-0.322,0.945,-3.418,-19.653,-11.902
-0.138,-0.364,0.916,-19.348,-22.705,-10.864
-0.098,-0.272,0.865,-8.606,-23.010,-13.672
-0.133,-0.233,0.869,-8.728,-22.644,-14.099
-0.143,-0.252,0.860,-4.761,-21.362,-11.658
-0.144,-0.306,0.858,-5.005,-20.569,-10.559
-0.146,-0.316,0.847,-4.883,-20.386,-10.986
-0.152,-0.315,0.824,-3.723,-19.287,-12.390
-0.164,-0.307,0.798,-1.587,-17.517,-13.367
-0.174,-0.284,0.783,-2.075,-16.479,-13.916
-0.215,-0.234,0.776,-0.671,-13.062,-14.038
-0.238,-0.234,0.839,7.996,-8.057,-12.390
-0.236,-0.231,0.885,9.827,-6.226,-11.719
-0.255,-0.238,0.912,16.663,-5.127,-10.376
-0.273,-0.241,0.920,18.860,-5.371,-9.644
-0.315,-0.296,0.889,27.283,-4.944,-7.446
-0.306,-0.350,0.866,34.363,-2.686,-7.446
-0.230,-0.356,0.861,30.701,-1.648,-7.751
-0.315,-0.140,0.934,-11.780,-1.770,-8.301
-0.378,-0.188,0.954,-2.869,0.427,-4.089
-0.293,-0.120,0.951,6.165,1.953,0.305
-0.288,-0.111,0.936,10.803,1.587,2.747
-0.331,-0.109,0.939,26.550,2.258,9.277
-0.328,-0.123,0.903,38.513,2.869,12.451
-0.279,-0.210,0.831,60.730,5.371,18.738
-0.204,-0.268,0.846,52.612,6.042,21.667
-0.247,-0.376,0.843,40.527,7.996,24.658
-0.229,-0.426,0.841,39.001,8.118,24.414
-0.008,-0.726,0.722,39.185,9.521,23.743
-0.208,-0.548,0.907,-13.855,6.226,21.301
0.080,-1.049,0.712,57.190,12.756,16.174
0.026,-0.666,0.912,-21.606,5.615,9.216
-0.235,-0.776,0.924,-41.992,1.648,0.427
-0.128,-0.822,0.923,-40.039,2.625,-4.150
-0.207,-0.578,0.955,-75.256,-2.808,-15.137
-0.215,-0.390,0.957,-71.594,-4.578,-19.775
-0.202,-0.330,0.950,-68.665,-5.005,-20.813
-0.264,-0.215,0.959,-75.623,-7.629,-19.958
-0.246,-0.190,0.986,-46.692,-6.042,-16.846
-0.248,-0.190,0.982,-30.945,-5.981,-15.625
-0.262,-0.145,0.947,-17.395,-7.202,-14.221
-0.270,-0.102,0.946,-7.812,-7.935,-11.047
-0.244,-0.147,0.972,0.488,-6.592,-8.789
-0.250,-0.155,1.000,-4.028,-7.324,-6.409
-0.235,-0.217,0.995,-3.967,-9.583,-5.188
-0.243,-0.215,0.993,-6.653,-11.169,-5.127
-0.238,-0.196,0.972,-9.766,-13.000,-5.066
