aX,aY,aZ,gX,gY,gZ
-0.965,0.054,-0.291,3.72,-27.988,0.366
-0.961,0.057,-0.288,4.39,-28.537,0.549
-0.957,0.061,-0.292,4.634,-28.415,0.61
-0.95,0.058,-0.292,4.817,-26.707,0.427
-0.935,0.059,-0.294,5.244,-23.78,0.244
-0.932,0.056,-0.296,5.671,-22.134,0.305
-0.928,0.056,-0.295,5.976,-20.244,0.732
-0.922,0.063,-0.285,6.829,-17.195,0.671
-0.922,0.056,-0.278,6.89,-13.902,0.793
-0.924,0.062,-0.287,6.646,-9.695,0.793
-0.93,0.057,-0.277,6.646,-5.305,0.854
-0.938,0.056,-0.27,6.951,-2.378,1.037
-0.942,0.064,-0.266,7.317,-2.256,1.585
-0.948,0.061,-0.25,7.378,-3.537,2.317
-0.965,0.063,-0.25,7.439,-2.317,2.439
-0.973,0.06,-0.243,7.134,1.524,2.256
-0.987,0.057,-0.242,6.524,5.305,1.829
-1.001,0.06,-0.246,6.159,6.707,1.89
-1,0.064,-0.229,6.037,5.305,2.439
-1.009,0.055,-0.225,6.585,2.134,3.11
-1.021,0.064,-0.241,6.646,0.061,3.659
-1.028,0.051,-0.231,6.646,-0.122,3.354
-1.03,0.059,-0.243,6.402,1.22,2.988
-1.037,0.053,-0.233,5.976,2.683,2.683
-1.028,0.052,-0.246,5.61,2.256,2.622
-1.02,0.055,-0.26,5.854,0.915,2.866
-1.008,0.054,-0.267,5.915,-0.854,3.232
-1.008,0.052,-0.271,5.488,-0.915,3.476
-1.011,0.05,-0.275,5.061,0.427,3.354
-1.013,0.046,-0.282,4.817,1.646,2.927
-1.01,0.049,-0.287,4.39,2.805,2.683
-0.99,0.046,-0.285,4.268,3.171,2.622
-0.978,0.053,-0.298,4.207,1.89,3.232
-0.97,0.047,-0.299,4.512,1.159,3.415
-0.966,0.056,-0.299,4.085,1.585,3.293
-0.969,0.047,-0.296,3.537,3.537,3.232
-0.967,0.054,-0.297,3.293,6.159,2.622
-0.964,0.047,-0.294,2.866,7.195,2.866
-0.965,0.053,-0.292,2.805,6.89,2.927
-0.974,0.058,-0.298,2.683,6.037,3.476
-0.975,0.046,-0.298,2.683,5.427,3.598
-0.98,0.053,-0.309,2.805,5.915,3.598
-0.977,0.045,-0.301,2.744,6.341,3.415
-0.979,0.052,-0.299,2.744,6.89,3.293
-0.977,0.055,-0.301,3.049,7.5,3.354
-0.971,0.058,-0.305,2.866,6.707,3.598
-0.973,0.055,-0.302,2.988,5.366,3.78
-0.978,0.05,-0.303,3.537,4.512,3.963
-0.981,0.052,-0.295,3.598,4.512,4.146
-0.993,0.056,-0.299,3.598,5.732,3.841
-0.979,0.047,-0.292,3.72,6.829,3.537
-0.983,0.059,-0.302,3.902,7.683,3.415
-0.979,0.05,-0.302,4.268,7.256,3.354
-0.976,0.055,-0.296,4.39,7.439,3.476
-0.978,0.06,-0.299,4.512,10.915,2.805
-0.97,0.055,-0.291,4.329,13.415,2.622
-0.977,0.057,-0.286,4.085,14.817,3.049
-0.976,0.061,-0.286,3.78,16.463,3.598
-0.975,0.059,-0.282,3.354,17.988,4.146
-0.971,0.059,-0.277,2.988,19.39,4.39
-0.969,0.063,-0.282,2.439,21.159,4.573
-0.973,0.058,-0.271,2.622,23.293,4.085
-0.969,0.06,-0.279,2.561,24.207,3.659
-0.968,0.058,-0.275,2.439,24.085,3.354
-0.967,0.057,-0.268,2.378,23.841,3.232
-0.97,0.068,-0.278,2.195,23.171,3.476
-0.968,0.057,-0.276,1.89,23.598,3.841
-0.984,0.068,-0.272,1.524,23.72,4.085
-0.999,0.056,-0.275,0.976,24.024,4.329
-1.003,0.059,-0.291,0.671,24.451,4.146
-1.024,0.049,-0.303,0.244,23.537,3.963
-1.022,0.055,-0.309,0.305,21.585,3.902
-1.015,0.053,-0.307,0.671,19.39,3.72
-0.99,0.05,-0.306,0.915,17.683,3.598
-0.98,0.061,-0.307,0.793,16.28,3.415
-0.959,0.06,-0.298,0.61,15.244,3.476
-0.954,0.057,-0.3,0.549,14.634,3.659
-0.967,0.061,-0.305,0.488,14.085,3.902
-0.97,0.052,-0.315,0.305,13.537,3.902
-0.982,0.054,-0.327,0.366,12.5,3.72
-0.982,0.052,-0.331,0.732,8.354,4.085
-0.981,0.051,-0.33,1.402,-2.073,5
-0.965,0.054,-0.329,1.768,-12.866,5.549
-0.946,0.061,-0.322,1.22,-15.854,4.817
-0.933,0.056,-0.311,0.244,-12.5,3.171
-0.928,0.06,-0.308,-0.488,-9.329,2.012
-0.931,0.062,-0.307,-0.305,-11.037,1.951
-0.943,0.058,-0.312,0.183,-13.354,2.378
-0.951,0.059,-0.315,0.244,-10.488,2.256
-0.963,0.059,-0.323,-0.061,-2.805,1.402
-0.962,0.055,-0.318,-0.305,3.171,0.854
-0.957,0.053,-0.313,-0.061,3.293,1.037
-0.947,0.061,-0.307,0.183,-0.122,1.463
-0.926,0.062,-0.314,0.305,-1.89,1.463
-0.881,0.062,-0.341,-0.244,-1.707,0.976
-0.843,0.053,-0.372,-0.793,-1.707,0.366
-0.87,0.054,-0.36,-1.159,-3.476,0.305
-0.902,0.052,-0.331,-1.159,-5.915,0.549
-0.923,0.055,-0.327,-1.341,-6.28,0.549
-0.928,0.061,-0.321,-1.585,-3.171,-0.061
-0.943,0.059,-0.31,-2.073,0.549,-0.671
-0.979,0.063,-0.298,-2.256,2.439,-1.037
-1.013,0.064,-0.286,-2.195,2.134,-1.098
-1.007,0.062,-0.281,-2.012,1.524,-1.341
-0.975,0.058,-0.293,-2.317,1.707,-1.768
-0.945,0.064,-0.309,-2.805,1.585,-2.195
-0.932,0.06,-0.316,-3.11,0.671,-2.317
-0.943,0.057,-0.32,-3.354,-1.28,-2.317
-0.936,0.057,-0.328,-3.232,-2.5,-2.439
-0.93,0.053,-0.334,-3.293,-1.829,-2.5
-0.929,0.053,-0.337,-3.72,-0.671,-2.561
-0.943,0.057,-0.332,-3.963,0.61,-2.561
-0.967,0.064,-0.313,-4.024,1.341,-2.561
-0.973,0.063,-0.306,-4.207,0.61,-2.195
-0.962,0.063,-0.308,-4.207,-0.488,-1.768
-0.95,0.063,-0.315,-4.146,-0.854,-1.646
-0.935,0.064,-0.318,-4.207,-0.671,-1.585
-0.935,0.059,-0.323,-4.451,-1.098,-1.402
-0.933,0.055,-0.328,-4.268,-2.378,-1.159
-0.931,0.06,-0.334,-4.39,-3.171,-0.976
-0.929,0.06,-0.335,-4.39,-3.537,-0.671
-0.938,0.059,-0.332,-4.512,-3.537,-0.366
-0.959,0.06,-0.323,-4.573,-3.537,-0.488
-0.971,0.058,-0.323,-4.817,-3.963,-0.305
-0.974,0.057,-0.327,-4.695,-4.207,-0.122
-0.976,0.059,-0.326,-4.817,-4.207,-0.183
-0.981,0.057,-0.326,-4.878,-4.573,-0.305
-0.976,0.055,-0.33,-4.878,-4.817,-0.244
-0.97,0.056,-0.323,-4.573,-4.817,-0.183
-0.974,0.062,-0.322,-4.817,-4.695,-0.122
-0.972,0.058,-0.322,-4.878,-4.695,-0.122
-0.97,0.062,-0.318,-4.939,-4.756,0
-0.972,0.057,-0.328,-4.817,-5,-0.122
-0.978,0.059,-0.323,-4.817,-5,-0.244
-0.977,0.059,-0.325,-5.061,-4.756,-0.244
-0.976,0.061,-0.324,-5.122,-4.39,-0.244
-0.973,0.061,-0.318,-5.183,-3.841,-0.366
-0.973,0.059,-0.312,-4.634,-2.988,-0.671
-0.965,0.062,-0.315,-4.451,-2.805,-0.793
-0.963,0.056,-0.312,-4.939,-2.5,-0.671
-0.958,0.061,-0.311,-5.061,-2.195,-0.793
-0.961,0.063,-0.308,-5.427,-2.134,-0.732
-0.962,0.059,-0.32,-5.366,-1.768,-0.854
-0.964,0.055,-0.32,-5.061,-1.524,-1.098
-0.963,0.061,-0.309,-4.939,-1.89,-1.159
-0.964,0.064,-0.317,-4.756,-1.585,-1.341
-0.958,0.057,-0.31,-4.329,-1.463,-1.463
-0.959,0.06,-0.303,-3.659,-1.646,-1.402
-0.963,0.058,-0.299,-3.476,-1.402,-1.159
-0.968,0.064,-0.299,-3.232,-1.28,-1.098
-0.969,0.062,-0.298,-2.805,-1.159,-0.915
-0.961,0.056,-0.3,-2.561,-0.427,-1.037
-0.962,0.057,-0.309,-2.134,0.915,-1.098
-0.967,0.054,-0.314,-1.89,1.707,-1.037
-0.966,0.055,-0.306,-1.098,1.402,-1.159
-0.962,0.06,-0.303,-0.793,0.549,-1.037
-0.956,0.061,-0.296,-0.366,0.366,-0.915
-0.954,0.065,-0.283,-0.122,0.427,-0.854
-0.958,0.067,-0.279,-0.305,1.098,-0.671
-0.959,0.067,-0.268,-0.122,1.646,-0.488
-0.969,0.07,-0.266,-0.488,0.854,-0.061
-0.975,0.068,-0.275,-0.427,-0.366,0.244
-0.976,0.065,-0.269,-0.305,-1.341,0.427
-0.984,0.069,-0.271,-0.061,-1.951,0.671
-0.985,0.066,-0.268,0.366,-2.073,0.793
-0.975,0.069,-0.267,0.366,-1.951,0.793
-0.973,0.065,-0.266,0.488,-1.829,0.976
-0.968,0.074,-0.268,0.61,-1.829,1.159
-0.965,0.064,-0.267,0.305,-2.256,1.402
-0.969,0.067,-0.274,0.305,-2.744,1.829
-0.981,0.063,-0.283,0.122,-3.171,1.707
-0.987,0.057,-0.288,0.122,-3.598,1.829
-0.989,0.06,-0.296,0,-3.354,1.829
-0.983,0.054,-0.298,0.305,-3.293,1.646
-0.979,0.057,-0.301,0.305,-3.354,1.341
-0.97,0.06,-0.303,0.183,-3.598,1.341
-0.976,0.06,-0.299,0.122,-3.537,1.341
-0.979,0.061,-0.289,0.122,-3.598,1.341
-0.976,0.063,-0.284,-0.061,-3.415,1.402
-0.978,0.062,-0.293,0.122,-3.354,1.159
-0.982,0.058,-0.306,0.122,-3.415,1.098
-0.978,0.056,-0.312,0.122,-3.11,1.037
-0.979,0.055,-0.32,0.366,-2.317,0.732
-0.971,0.059,-0.312,0.61,-1.951,0.671
-0.961,0.06,-0.31,0.854,-2.378,0.671
-0.962,0.061,-0.302,1.159,-3.049,0.854
-0.954,0.063,-0.302,1.28,-2.744,0.915
-0.956,0.065,-0.301,1.829,-1.89,1.159
-0.958,0.061,-0.303,2.317,-2.5,1.341
-0.961,0.06,-0.312,2.683,-3.049,1.951
-0.964,0.065,-0.314,3.049,-3.354,2.683
-0.967,0.059,-0.309,3.354,-2.195,2.866
-0.961,0.055,-0.298,3.598,0.976,2.805
-0.958,0.066,-0.292,3.963,3.415,2.378
-0.958,0.068,-0.287,4.451,3.78,1.951
-0.963,0.069,-0.283,4.939,3.232,1.707
-0.966,0.068,-0.282,4.939,2.439,1.22
-0.97,0.069,-0.289,4.756,2.5,0.732
-0.968,0.071,-0.291,4.451,2.012,0.305
-0.976,0.062,-0.279,4.268,0.976,0
-0.987,0.068,-0.279,3.902,0.305,-0.244
-0.985,0.066,-0.276,3.537,0.305,-0.305
-0.995,0.066,-0.279,2.805,0.366,-0.183
-0.998,0.066,-0.282,2.5,0.793,0
-0.994,0.066,-0.271,1.89,1.037,0.244
-0.993,0.07,-0.261,1.585,0.671,0.549
-0.976,0.075,-0.265,1.037,0.305,0.793
-0.949,0.066,-0.269,0.732,-0.305,0.915
-0.934,0.07,-0.281,0.305,-1.22,0.915
-0.917,0.066,-0.292,-0.122,-2.5,1.037
-0.922,0.067,-0.306,-0.122,-4.268,1.159
-0.928,0.063,-0.321,-0.061,-5.305,1.463
-0.93,0.061,-0.335,-0.305,-5.61,1.402
-0.934,0.057,-0.344,-0.183,-5.366,1.341
-0.95,0.056,-0.349,0.305,-4.329,1.22
-0.971,0.055,-0.355,0.61,-3.171,1.463
-0.978,0.049,-0.351,0.61,-2.622,1.463
-0.982,0.05,-0.353,0.793,-2.622,1.707
-0.979,0.051,-0.354,1.098,-3.293,2.195
-0.974,0.055,-0.354,1.159,-3.841,2.378
-0.968,0.055,-0.351,1.402,-2.683,2.256
-0.967,0.052,-0.347,1.707,-1.463,2.195
-0.965,0.056,-0.347,2.012,-1.341,1.951
-0.955,0.056,-0.338,2.134,-1.524,1.829
-0.953,0.057,-0.323,2.622,-1.28,1.646
-0.964,0.065,-0.302,2.622,-0.488,1.098
-0.973,0.066,-0.294,2.622,0.183,0.854
-0.981,0.063,-0.284,2.622,0.732,0.671
-0.986,0.068,-0.275,2.5,0.732,0.61
-0.984,0.069,-0.279,2.378,0.061,0.732
-0.985,0.062,-0.284,2.134,-0.061,0.732
-0.979,0.069,-0.289,1.768,0,0.732
-0.974,0.064,-0.286,1.341,-0.061,0.671
-0.976,0.064,-0.279,1.037,-0.183,0.793
-0.97,0.064,-0.27,0.793,-0.61,0.61
-0.961,0.061,-0.27,0.488,-1.037,0.549
-0.953,0.069,-0.27,0.305,-1.28,0.366
-0.948,0.07,-0.276,0.183,-1.159,0.366
-0.957,0.063,-0.278,0.244,-1.159,0.305
-0.953,0.06,-0.287,0,-1.159,0.122
-0.958,0.062,-0.296,-0.061,-1.098,0.122
-0.958,0.059,-0.309,0,-0.427,0.061
-0.956,0.058,-0.319,0,0,-0.122
-0.963,0.053,-0.323,0.244,0.427,-0.061
-0.966,0.052,-0.323,0.183,0.732,0
-0.967,0.053,-0.321,0.427,0.793,0
-0.969,0.056,-0.326,0.915,0.488,0.183
-0.961,0.051,-0.331,0.793,0.732,0.244
-0.959,0.057,-0.325,1.159,1.768,0.305
-0.957,0.057,-0.318,1.707,2.5,0.122
-0.958,0.06,-0.317,2.012,2.622,-0.122
-0.96,0.062,-0.313,2.622,2.744,-0.122
-0.959,0.063,-0.299,3.049,2.683,-0.061
-0.963,0.058,-0.298,3.171,2.622,0.061
-0.962,0.063,-0.296,3.537,3.049,0.061
-0.967,0.065,-0.292,3.72,3.72,-0.122
-0.972,0.063,-0.289,3.659,3.963,0.061
-0.972,0.063,-0.293,4.085,3.78,0.183
-0.97,0.061,-0.296,4.207,2.378,0.366
-0.97,0.061,-0.292,4.878,-2.683,1.037
