,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,beat_change,beat,dynamic,x,y,z,dist
15115,-0.465,-0.245,-1.681,-69.329,-10.244000000000002,-63.841,None,2,n,-0.08391304044603778,-0.07328519695224782,0.5581959708419155,0.8463557358989874
15116,-0.45899999999999996,-0.247,-1.6740000000000002,-70.915,-10.793,-63.476000000000006,None,2,n,-0.08481838263510652,-0.07408659700146891,0.5666628526088064,0.8552775770047364
15117,-0.46,-0.25,-1.6769999999999998,-72.439,-11.22,-63.11,None,2,n,-0.08570940333007991,-0.07489512540174363,0.5752205388768579,0.8641853407418895
15118,-0.457,-0.254,-1.6740000000000002,-73.78,-10.732000000000001,-62.988,None,2,n,-0.08658630923937524,-0.07571075773975111,0.583868502643211,0.8730492390966114
15119,-0.45,-0.255,-1.673,-74.878,-9.634,-62.927,None,2,n,-0.08744945501206805,-0.07653345294546575,0.5926059588183946,0.8818445919756934
15120,-0.44299999999999995,-0.258,-1.661,-76.22,-9.267999999999999,-62.56100000000001,None,2,n,-0.08829920232691423,-0.07736315524816728,0.6014320477865663,0.8905634333627169
15121,-0.444,-0.257,-1.6569999999999998,-77.317,-9.146,-61.89,None,2,n,-0.08913542489358806,-0.07820003197252519,0.6103464880229942,0.8992601156597034
15122,-0.444,-0.249,-1.6369999999999998,-78.72,-8.963,-61.159,None,2,n,-0.08995785257742488,-0.07904442129749396,0.6193488348294622,0.9079186563298939
15123,-0.43799999999999994,-0.242,-1.624,-79.817,-8.597999999999999,-60.61,None,2,n,-0.0907665626719327,-0.07989651015025702,0.6284382860903104,0.9165052735980076
15124,-0.429,-0.23600000000000002,-1.617,-80.61,-8.354,-60.183,None,2,n,-0.09156181948107435,-0.0807563938860224,0.6376138729447145,0.925003932717227
15125,-0.428,-0.23600000000000002,-1.6059999999999999,-81.34100000000002,-8.354,-59.512,None,2,n,-0.09234358696623955,-0.08162420585956272,0.6468751377284525,0.9334628188459748
15126,-0.424,-0.233,-1.59,-82.256,-8.415,-58.659,None,2,n,-0.09311190492584778,-0.08250009666825796,0.6562213990635224,0.9418603831738313
15127,-0.42200000000000004,-0.233,-1.574,-82.744,-8.476,-57.927,None,2,n,-0.09386677368586864,-0.08338419079860278,0.6656521132778236,0.9502095551402764
15128,-0.425,-0.24,-1.556,-83.171,-8.232000000000001,-57.256,None,2,n,-0.09460808589262015,-0.08427656088794266,0.6751670659040834,0.9585415569718159
